cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe,branches_topneed,exposure,n_topneed_counties,top_county
12010,Provident Bank,NJ,JERSEY CITY,Large Bank Evaluation,01/01/2026,Satisfactory,24052216.0,Outstanding,High Satisfactory,2024/12010_241007.PDF,False,False,22,15389,2,"Bergen, NJ"
28765,Kearny Bank,NJ,KEARNY,Large Bank Evaluation,10/01/2025,Satisfactory,7720773.0,Outstanding,Outstanding,2025/28765_250519.PDF,False,False,13,15389,2,"Bergen, NJ"
33503,Unity Bank,NJ,CLINTON,Large Bank Evaluation,11/01/2023,Satisfactory,2431532.0,Low Satisfactory,High Satisfactory,2023/33503_230424.PDF,False,True,3,15389,2,"Bergen, NJ"
58513,The Bank of Princeton,NJ,PRINCETON,Large Bank Evaluation,11/01/2024,Satisfactory,1916497.0,High Satisfactory,Low Satisfactory,2024/58513_240422.PDF,True,True,4,15389,2,"Bergen, NJ"
58054,First Commerce Bank,NJ,LAKEWOOD,Intermediate Small Bank Evaluation,03/01/2025,Outstanding,1452486.0,,,2024/58054_240806.PDF,False,False,6,15389,2,"Bergen, NJ"
2777,MidSouth Bank,AL,DOTHAN,Intermediate Small Bank Evaluation,11/01/2024,Satisfactory,642893.0,,,2024/2777_240507.PDF,False,False,3,15246,2,"Leon, FL"
14065,Pinnacle Bank,GA,ELBERTON,Large Bank Evaluation,10/01/2025,Satisfactory,2130759.0,Low Satisfactory,High Satisfactory,2025/14065_250127.PDF,False,True,2,15150,2,"Clarke, GA"
16858,First American Bank and Trust Company,GA,ATHENS,Intermediate Small Bank Evaluation,10/01/2025,Satisfactory,879178.0,,,2025/16858_250428.PDF,False,False,5,15150,2,"Clarke, GA"
18143,Oconee State Bank,GA,WATKINSVILLE,Intermediate Small Bank Evaluation,09/01/2025,Satisfactory,639898.0,,,2025/18143_250317.PDF,False,False,2,15150,2,"Clarke, GA"
33306,CIBC Bank USA,IL,CHICAGO,Large Bank Evaluation,02/01/2022,Outstanding,45859037.0,Outstanding,Outstanding,2021/33306_210823.PDF,False,False,2,15115,2,"St. Louis, MO"
