cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe
57815,Banesco USA,FL,MIAMI,Large Bank Evaluation,03/01/2026,Satisfactory,5214894.0,High Satisfactory,Outstanding,2025/57815_250825.PDF,False,False
20828,Banco Santander Puerto Rico,PR,SAN JUAN,Large Bank Evaluation,06/01/2019,Outstanding,5177922.0,High Satisfactory,Outstanding,2018/20828_181023.PDF,False,False
26647,Firstrust Savings Bank,PA,CONSHOHOCKEN,Large Bank Evaluation,07/01/2024,Satisfactory,5122806.0,Low Satisfactory,Low Satisfactory,2023/26647_231106.PDF,True,True
90250,Institution for Savings in Newburyport and Its Vicinity,MA,NEWBURYPORT,Large Bank Evaluation,02/01/2026,Satisfactory,5085006.0,Outstanding,Low Satisfactory,2024/90250_240624.PDF,True,True
34294,CFG Bank,MD,LUTHERVILLE,Large Bank Evaluation,09/01/2024,Satisfactory,5027779.0,High Satisfactory,Low Satisfactory,2024/34294_240226.PDF,True,True
20369,Heartland Bank and Trust Company,IL,BLOOMINGTON,Large Bank Evaluation,05/01/2024,Satisfactory,4988192.0,High Satisfactory,High Satisfactory,2023/20369_231113.PDF,False,False
18618,Manufacturers Bank,CA,LOS ANGELES,Large Bank Evaluation,08/01/2023,Satisfactory,4906144.0,High Satisfactory,High Satisfactory,2023/18618_230403.PDF,False,False
10248,First International Bank & Trust,ND,WATFORD CITY,Large Bank Evaluation,12/01/2023,Satisfactory,4876751.0,Low Satisfactory,Low Satisfactory,2023/10248_230717.PDF,True,True
19416,CTBC Bank Corp. (USA),CA,LOS ANGELES,Large Bank Evaluation,07/01/2023,Satisfactory,4816873.0,Substantial Non Complianc,Substantial Non Complianc,2023/19416_230206.PDF,True,True
15359,Southern Bank and Trust Company,NC,MOUNT OLIVE,Large Bank Evaluation,10/01/2024,Satisfactory,4758607.0,High Satisfactory,Low Satisfactory,2024/15359_240409.PDF,True,True
3973,First Bank & Trust,SD,BROOKINGS,Large Bank Evaluation,05/01/2026,Outstanding,4735956.0,Outstanding,High Satisfactory,2025/3973_251117.PDF,False,False
9889,Mid Penn Bank,PA,MILLERSBURG,Large Bank Evaluation,06/01/2023,Satisfactory,4665007.0,,,2022/9889_220630.PDF,False,False
59070,HarborOne Bank,MA,BROCKTON,Large Bank Evaluation,08/01/2021,Outstanding,4611118.0,Outstanding,Outstanding,2021/59070_210126.PDF,False,False
8879,Community Bank of Mississippi,MS,FLOWOOD,Large Bank Evaluation,10/01/2023,Satisfactory,4608467.0,Low Satisfactory,High Satisfactory,2023/8879_230227.PDF,False,True
90211,Hingham Institution for Savings,MA,HINGHAM,Large Bank Evaluation,03/01/2026,Satisfactory,4449837.0,High Satisfactory,Low Satisfactory,2024/90211_241104.PDF,True,True
58596,Carter Bank & Trust,VA,MARTINSVILLE,Large Bank Evaluation,05/01/2024,Satisfactory,4446729.0,Low Satisfactory,High Satisfactory,2023/58596_231023.PDF,False,True
27408,Enterprise Bank and Trust Company,MA,LOWELL,Large Bank Evaluation,01/01/2024,Satisfactory,4441891.0,High Satisfactory,Outstanding,2023/27408_230612.PDF,False,False
90213,PeoplesBank,MA,HOLYOKE,Large Bank Evaluation,11/01/2025,Satisfactory,4398977.0,Outstanding,High Satisfactory,2024/90213_240930.PDF,False,False
17842,Texas Bank and Trust Company,TX,LONGVIEW,Large Bank Evaluation,01/01/2026,Satisfactory,4342372.0,High Satisfactory,High Satisfactory,2025/17842_250804.PDF,False,False
1536,Bank of Stockton,CA,STOCKTON,Large Bank Evaluation,06/01/2025,Satisfactory,4320510.0,Low Satisfactory,High Satisfactory,2024/1536_240916.PDF,False,True
11507,The Fidelity Bank,NC,FUQUAY VARINA,Large Bank Evaluation,03/01/2026,Satisfactory,4263695.0,Low Satisfactory,Low Satisfactory,2025/11507_250902.PDF,True,True
25103,City Bank,TX,LUBBOCK,Large Bank Evaluation,04/01/2024,Satisfactory,4184122.0,Low Satisfactory,Low Satisfactory,2023/25103_240301.PDF,True,True
19690,Northeast Bank,ME,PORTLAND,Strategic Plan Evaluation,05/01/2026,Satisfactory,4171439.0,,,2025/19690_251201.PDF,False,False
22946,Scotiabank de Puerto Rico,PR,SAN JUAN,Large Bank Evaluation,01/01/2018,Satisfactory,4145913.0,Low Satisfactory,Low Satisfactory,2017/22946_170718.PDF,True,False
