cert,bank,state,regulator,assets_k,exam_method,inv_rating,svc_rating,pe_date,route,contact,channel,address
29787,"First Federal Community Bank, National Association",OH,OCC,994585,Intermediate Small Bank,,,01/08/2024,role,CRA Officer,www.firstfed.com,"141 W Ohio Ave, Dover, OH 44622"
12814,Peoples State Bank,WI,FDIC,992960,Intermediate Small Bank Evaluation,,,11/01/2023,role,CRA Officer,http://www.peoplesfinancial.com,"301 E Blackhawk Ave, Prairie Du Chien, WI 53821"
3226,Ciera Bank,TX,FED,992919,Int Small Bank,,,"Sep 10, 2018",role,CRA Officer,http://www.cierabank.com,"623 Elm St, Graham, TX 76450"
29047,First Federal Bank of Kansas City,MO,FDIC,992550,Strategic Plan Evaluation,,,08/01/2024,role,CRA Officer,www.ffbkc.com,"1255 Se Oldham Pkwy, Lees Summit, MO 64081"
20720,Tennessee State Bank,TN,FED,990829,Int Small Bank,Needs to Improve,Low Satisfactory,"Jun 12, 2023",role,CRA Officer,www.tnstatebank.com,"2210 Parkway, Pigeon Forge, TN 37863"
19603,"HomeTown Bank, National Association",TX,OCC,990420,Intermediate Small Bank,,,02/05/2024,role,CRA Officer,www.hometown.bank,"1801 45th St, Galveston, TX 77550"
2740,The Farmers National Bank of Danville,KY,OCC,989832,Intermediate Small Bank,,,03/20/2023,role,CRA Officer,www.fnbky.com,"304 W Main St, Danville, KY 40422"
58259,First National Bank of Michigan,MI,OCC,988867,Intermediate Small Bank,,,01/29/2024,role,CRA Officer,www.fnbmichigan.bank,"348 W Michigan Ave, Kalamazoo, MI 49007"
30039,Haven Savings Bank,NJ,FDIC,986876,Intermediate Small Bank Evaluation,,,04/01/2025,role,CRA Officer,www.havenbank.com,"621 Washington St, Hoboken, NJ 07030"
9737,Midwest Bank,MN,FDIC,984523,Intermediate Small Bank Evaluation,,,07/01/2024,role,CRA Officer,www.midwestbank.net,"613 Highway 10 E, Detroit Lakes, MN 56501"
58485,1st Capital Bank,CA,FDIC,984277,Intermediate Small Bank Evaluation,,,09/01/2024,role,CRA Officer,,"150 Main Street, Suite 150, Salinas, CA 93901"
26591,Coastal Heritage Bank,MA,FED,983644,Int Small Bank,,,"Jun 18, 2018",role,CRA Officer,www.coastalheritagebank.com,"195 Washington St, Weymouth, MA 02188"
33708,International Bank of Chicago,IL,FDIC,982667,Intermediate Small Bank Evaluation,,,03/01/2026,role,CRA Officer,www.inbk.com,"5069 N Broadway St, Chicago, IL 60640"
2208,First Northern Bank of Wyoming,WY,FED,982644,Int Small Bank,,,"Oct 25, 2021",role,CRA Officer,fnbofwyo.com,"141 S Main St, Buffalo, WY 82834"
59106,Beacon Community Bank,SC,FDIC,982303,Intermediate Small Bank Evaluation,,,05/01/2026,role,CRA Officer,www.beacon.bank,"2347 Highway 17n, Mount Pleasant, SC 29466"
57522,Tolleson Private Bank,TX,FDIC,981963,Strategic Plan Evaluation,,,04/01/2025,role,CRA Officer,www.tollesonwealth.com,"5550 Preston Rd, Dallas, TX 75205"
34803,Resource Bank,LA,FDIC,980745,Intermediate Small Bank Evaluation,,,03/01/2025,role,CRA Officer,www.resource.bank,"70533 Highway 21, Covington, LA 70433"
57511,Community First Bank of Indiana,IN,FDIC,980300,Intermediate Small Bank Evaluation,,,09/01/2025,role,CRA Officer,www.cfbindiana.com,"201 W Sycamore St, Kokomo, IN 46901"
9023,Potomac Bank,WV,FDIC,980213,Intermediate Small Bank Evaluation,,,07/01/2024,role,CRA Officer,www.potomac.bank,"111 E Washington St, Charles Town, WV 25414"
