rssd,cert,name,location,method,exam_date,overall,assets,svc_rating,inv_rating,cd_rating,branches_topneed,exposure,top_county
978118,7593,FIRST CITIZENS COMMUNITY BANK,"MANSFIELD, PA",Large Bank,"Mar 28, 2022",Satisfactory,"$2,208,830",High Satisfactory,Needs to Improve,,0,0,
1007846,,FIRST MIDWEST BANK,"CHICAGO, IL",Large Bank,"Sep 30, 2019",Outstanding,"$15,430,682",High Satisfactory,Outstanding,,0,0,
374653,6085,FIRST PREMIER BANK,"SIOUX FALLS, SD",Large Bank,"Sep 12, 2022",Satisfactory,"$3,503,723",High Satisfactory,Low Satisfactory,Outstanding,0,0,
288853,,FIRSTBANK,"LAKEWOOD, CO",Large Bank,"Sep 15, 2025",Outstanding,"$26,761,023",Outstanding,High Satisfactory,Outstanding,0,0,
601416,659,FIVE STAR BANK,"WARSAW, NY",Large Bank,"May 06, 2019",Satisfactory,"$4,221,168",Needs to Improve,High Satisfactory,,0,0,
466857,,HAPPY STATE BANK,"HAPPY, TX",Large Bank,"Jun 03, 2019",Outstanding,"$3,477,696",Outstanding,Outstanding,,0,0,
772008,90303,SOUTH SHORE BANK,"SOUTH WEYMOUTH, MA",Large Bank,"Oct 07, 2019",Satisfactory,"$1,482,441",High Satisfactory,Low Satisfactory,,0,0,
3221468,,VERITEX COMMUNITY BANK,"DALLAS, TX",Large Bank,"Jun 17, 2024",Satisfactory,"$12,384,382",High Satisfactory,High Satisfactory,Satisfactory,0,0,
2044811,33803,WHEATON BANK & TRUST COMPANY,"WHEATON, IL",Large Bank,"Apr 29, 2019",Outstanding,"$1,733,933",Low Satisfactory,Low Satisfactory,,0,0,
539032,16604,BANK INDEPENDENT,"SHEFFIELD, AL",Large Bank,"Mar 13, 2023",Satisfactory,"$2,229,522",Low Satisfactory,Low Satisfactory,,0,0,
858528,9507,"BANK OF MARION, THE","MARION, VA",Large Bank,"Oct 19, 2020",Satisfactory,"$449,569",Low Satisfactory,Low Satisfactory,,0,0,
2434113,,BANK RHODE ISLAND,"PROVIDENCE, RI",Large Bank,"Sep 09, 2024",Satisfactory,"$3,378,281",Low Satisfactory,Low Satisfactory,,0,0,
782306,17798,BROOKLINE BANK,"BROOKLINE, MA",Large Bank,"Sep 09, 2024",Satisfactory,"$6,353,060",Low Satisfactory,Low Satisfactory,,0,0,
704559,,CENTRAL BANK OF THE MIDWEST,"LEE&#39;S SUMMIT, MO",Large Bank,"Nov 02, 2020",Satisfactory,"$3,577,679",Low Satisfactory,Low Satisfactory,,0,0,
2354985,34444,CUSTOMERS BANK,"PHOENIXVILLE, PA",Large Bank,"Nov 02, 2020",Satisfactory,"$17,892,526",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
781028,,ESSEX BANK,"RICHMOND, VA",Large Bank,"Oct 05, 2020",Satisfactory,"$1,614,861",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
339773,26483,NEEDHAM BANK,"NEEDHAM, MA",Large Bank,"Nov 07, 2022",Satisfactory,"$3,279,317",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
2717012,,PACIFIC MERCANTILE BANK,"COSTA MESA, CA",Large Bank,"Feb 18, 2020",Satisfactory,"$1,437,734",High Satisfactory,Low Satisfactory,Satisfactory,0,0,
354310,7759,UNIVEST BANK AND TRUST CO.,"SOUDERTON, PA",Large Bank,"Jan 13, 2020",Satisfactory,"$5,134,013",Low Satisfactory,Needs to Improve,,0,0,
1447639,32941,WESTSTAR BANK,"EL PASO, TX",Large Bank,"Mar 20, 2023",Outstanding,"$2,790,209",High Satisfactory,Low Satisfactory,,0,0,
3715444,,CAPSTAR BANK,"NASHVILLE, TN",Large Bank,"May 22, 2023",Satisfactory,"$3,231,110",Needs to Improve,High Satisfactory,Satisfactory,0,0,
3029589,57244,CEDAR RAPIDS BANK AND TRUST COMPANY,"CEDAR RAPIDS, IA",Int Small Bank,"Sep 10, 2018",Satisfactory,"$1,346,942",High Satisfactory,High Satisfactory,Satisfactory,0,0,
738303,90173,EAST CAMBRIDGE SAVINGS BANK,"CAMBRIDGE, MA",Large Bank,"Sep 11, 2023",Satisfactory,"$1,604,208",,Low Satisfactory,,0,0,
859002,90188,EASTHAMPTON SAVINGS BANK,"EASTHAMPTON, MA",Large Bank,"Oct 16, 2023",Satisfactory,"$1,903,686",High Satisfactory,Low Satisfactory,,0,0,
186717,7675,FIRST NORTHERN BANK AND TRUST COMPANY,"PALMERTON, PA",Large Bank,"Mar 08, 2021",Satisfactory,"$835,292",Low Satisfactory,Low Satisfactory,,0,0,
74140,1005,ISABELLA BANK,"MOUNT PLEASANT, MI",Large Bank,"Nov 13, 2023",Satisfactory,"$1,993,203",Low Satisfactory,Needs to Improve,Satisfactory,0,0,
342410,713,ORRSTOWN BANK,"SHIPPENSBURG, PA",Large Bank,"Jan 25, 2021",Satisfactory,"$2,780,990",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
3325759,57968,PRIMIS BANK,"TAPPAHANNOCK, VA",Large Bank,"Nov 29, 2021",Satisfactory,"$3,452,990",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
506922,,SANDY SPRING BANK,"OLNEY, MD",Large Bank,"Oct 12, 2021",Satisfactory,"$12,912,358",Low Satisfactory,Low Satisfactory,,0,0,
395238,,SYNOVUS BANK,"COLUMBUS, GA",Large Bank,"Mar 18, 2024",Satisfactory,"$59,629,623",Low Satisfactory,Low Satisfactory,,0,0,
928618,7542,AMERISERV FINANCIAL BANK,"JOHNSTOWN, PA",Large Bank,"Jun 09, 2025",Satisfactory,"$1,426,921",Low Satisfactory,Low Satisfactory,,0,0,
187947,14521,BANK IOWA,"WEST DES MOINES, IA",Large Bank,"Sep 09, 2024",Satisfactory,"$2,117,855",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
265407,18012,BANK OF NEW HAMPSHIRE,"LACONIA, NH",Large Bank,"Sep 12, 2022",Satisfactory,"$2,374,786",High Satisfactory,Low Satisfactory,,0,0,
795968,18053,BANK OF HAWAII,"HONOLULU, HI",Large Bank,"Mar 13, 2023",Outstanding,"$23,579,258",Outstanding,Outstanding,,0,0,
914648,8870,BANKFIRST FINANCIAL SERVICES,"MACON, MS",Large Bank,"Oct 30, 2023",Satisfactory,"$2,666,230",High Satisfactory,Low Satisfactory,Satisfactory,0,0,
2385514,,"FIRST BANK, THE","HATTIESBURG, MS",Large Bank,"Aug 28, 2023",Satisfactory,"$6,463,617",Low Satisfactory,Low Satisfactory,,0,0,
186744,4433,FIRST CITIZENS BANK,"MASON CITY, IA",Large Bank,"Nov 13, 2023",Satisfactory,"$1,624,101",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
3614976,58696,FVCBANK,"FAIRFAX, VA",Large Bank,"Jul 31, 2023",Satisfactory,"$2,338,667",High Satisfactory,Needs to Improve,Satisfactory,0,0,
3419416,58243,JOHN MARSHALL BANK,"RESTON, VA",Int Small Bank,"Mar 15, 2021",Satisfactory,"$1,883,780",High Satisfactory,High Satisfactory,Satisfactory,0,0,
139553,10667,MABREY BANK,"BIXBY, OK",Int Small Bank,"Oct 07, 2019",Satisfactory,"$1,159,367",Outstanding,High Satisfactory,Satisfactory,0,0,
1386251,27476,BANCFIRST,"OKLAHOMA CITY, OK",Large Bank,"Jul 15, 2024",Satisfactory,"$10,648,000",Low Satisfactory,Low Satisfactory,,0,0,
546544,15555,CENTRAL BANK,"STORM LAKE, IA",Int Small Bank,"Nov 16, 2020",Satisfactory,"$1,479,440",Outstanding,Low Satisfactory,Satisfactory,0,0,
895710,7799,CITIZENS & NORTHERN BANK,"WELLSBORO, PA",Large Bank,"Nov 04, 2024",Satisfactory,"$2,656,955",Low Satisfactory,High Satisfactory,,0,0,
833404,23286,FALL RIVER FIVE CENTS SAVINGS BANK,"FALL RIVER, MA",Int Small Bank,"Mar 14, 2022",Outstanding,"$1,446,964",Outstanding,Outstanding,Outstanding,0,0,
176101,12944,ORANGE BANK & TRUST COMPANY,"MIDDLETOWN, NY",Int Small Bank,"Nov 05, 2018",Satisfactory,"$1,061,368",High Satisfactory,Low Satisfactory,Satisfactory,0,0,
24006,,PCSB BANK,"YORKTOWN HEIGHTS, NY",Large Bank,"Jan 22, 2024",Satisfactory,"$1,980,866",High Satisfactory,Low Satisfactory,,0,0,
645317,660,"ADIRONDACK TRUST COMPANY, THE","SARATOGA SPRINGS, NY",Int Small Bank,"Mar 11, 2019",Satisfactory,"$1,148,332",Low Satisfactory,Low Satisfactory,Outstanding,0,0,
554857,20488,FIVE POINTS BANK,"GRAND ISLAND, NE",Int Small Bank,"Oct 21, 2019",Outstanding,"$1,133,574",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
3248849,57742,MAINSTREET BANK,"FAIRFAX, VA",Large Bank,"Jul 28, 2025",Satisfactory,"$2,217,133",High Satisfactory,Outstanding,Satisfactory,0,0,
247140,22334,ONE COMMUNITY BANK,"OREGON, WI",Int Small Bank,"Nov 28, 2022",Satisfactory,"$1,780,838",Needs to Improve,Low Satisfactory,Satisfactory,0,0,
3804535,58892,GUARANTY BANK,"SPRINGFIELD, MO",Int Small Bank,"May 01, 2023",Satisfactory,"$2,148,808",High Satisfactory,High Satisfactory,Satisfactory,0,0,
161273,26484,TRUNORTH BANK,"PEABODY, MA",Large Bank,"Mar 02, 2026",Outstanding,"$3,233,778",High Satisfactory,High Satisfactory,,0,0,
746223,,1880 BANK,"CAMBRIDGE, MD",Int Small Bank,"Feb 05, 2018",Satisfactory,"$354,590",,,Satisfactory,0,0,
623454,1184,"BANK AND TRUST, SSB, THE","DEL RIO, TX",Int Small Bank,"Oct 04, 2021",Satisfactory,"$546,252",High Satisfactory,,Satisfactory,0,0,
1421161,,BANK OF BLUE VALLEY,"OVERLAND PARK, KS",Int Small Bank,"Nov 13, 2018",Satisfactory,"$708,066",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
930442,16982,BANK OF PONTIAC,"PONTIAC, IL",Int Small Bank,"Jun 21, 2021",Satisfactory,"$673,841",,,Satisfactory,0,0,
2787770,35207,BANK OF THE JAMES,"LYNCHBURG, VA",Int Small Bank,"May 27, 2025",Satisfactory,"$1,002,624",,,Satisfactory,0,0,
1015243,,CENTRAL BANK OF LAKE OF THE OZARKS,"OSAGE BEACH, MO",Int Small Bank,"Nov 05, 2018",Satisfactory,"$727,794",,,Satisfactory,0,0,
2471239,34294,CFG COMMUNITY BANK,"LUTHERVILLE, MD",Int Small Bank,"Aug 06, 2018",Satisfactory,"$809,373",,,Satisfactory,0,0,
160650,,CHARTER BANK,"EAU CLAIRE, WI",Int Small Bank,"Aug 20, 2018",Satisfactory,"$873,386",,,Satisfactory,0,0,
192147,8738,CITIZENS BANK & TRUST COMPANY,"VAN BUREN, AR",Int Small Bank,"Oct 24, 2022",Satisfactory,"$539,942",,,Satisfactory,0,0,
3537897,58446,COMMENCEMENT BANK,"TACOMA, WA",Int Small Bank,"Oct 06, 2025",Satisfactory,"$681,488",,,Satisfactory,0,0,
361653,,COMMERCIAL STATE BANK,"ANDREWS, TX",Int Small Bank,"Jan 08, 2018",Needs to Improve,"$536,479",,,Needs to Improve,0,0,
175140,11595,COMMUNITY FIRST BANK,"BOSCOBEL, WI",Int Small Bank,"Aug 12, 2024",Satisfactory,"$592,807",,,Satisfactory,0,0,
447100,90282,CORNERSTONE BANK,"SPENCER, MA",Int Small Bank,"Oct 15, 2018",Satisfactory,"$1,132,009",,,Satisfactory,0,0,
115575,26591,EQUITABLE BANK,"EAST WEYMOUTH, MA",Int Small Bank,"Jun 18, 2018",Satisfactory,"$332,913",,,Satisfactory,0,0,
713926,8668,FARMERS & MERCHANTS BANK,"TIMBERVILLE, VA",Int Small Bank,"Sep 22, 2025",Satisfactory,"$1,310,287",,Low Satisfactory,Satisfactory,0,0,
590976,31840,FINANCIAL FEDERAL BANK,"MEMPHIS, TN",Int Small Bank,"May 30, 2023",Satisfactory,"$891,834",,,Satisfactory,0,0,
653648,,FIRST AMERICAN BANK,"FORT DODGE, IA",Int Small Bank,"Jul 23, 2018",Satisfactory,"$926,841",Low Satisfactory,Needs to Improve,Outstanding,0,0,
899428,6917,FIRST BANK,"STRASBURG, VA",Int Small Bank,"Jun 23, 2025",Satisfactory,"$2,033,720",,,Satisfactory,0,0,
759045,25883,FIRST EAGLE BANK,"CHICAGO, IL",Int Small Bank,"Nov 05, 2018",Outstanding,"$511,365",,,Outstanding,0,0,
3591282,,FIRST FLORIDA INTEGRITY BANK,"NAPLES, FL",Int Small Bank,"Jun 11, 2018",Satisfactory,"$1,423,696",,,Satisfactory,0,0,
489548,14185,"FIRST STATE BANK AND TRUST COMPANY, INC.","CARUTHERSVILLE, MO",Int Small Bank,"Oct 20, 2025",Satisfactory,"$607,546",,,Satisfactory,0,0,
296456,14331,FIRSTBANK,"ANTLERS, OK",Int Small Bank,"Feb 23, 2026",Satisfactory,"$640,630",,,Satisfactory,0,0,
839255,16127,FNB COMMUNITY BANK,"MIDWEST CITY, OK",Int Small Bank,"Sep 19, 2022",Satisfactory,"$621,516",,,Satisfactory,0,0,
228000,19836,FRANKLIN SAVINGS BANK,"FARMINGTON, ME",Int Small Bank,"Nov 05, 2018",Outstanding,"$406,919",High Satisfactory,Low Satisfactory,Satisfactory,0,0,
245351,4031,FRAZER BANK,"ALTUS, OK",Int Small Bank,"Jul 09, 2018",Satisfactory,"$331,190",,,Satisfactory,0,0,
3019982,57184,"FREEDOM BANK OF VIRGINIA, THE","FAIRFAX, VA",Int Small Bank,"Sep 24, 2018",Satisfactory,"$512,830",,,Outstanding,0,0,
427241,13130,"FRIENDSHIP STATE BANK, THE","FRIENDSHIP, IN",Int Small Bank,"Oct 17, 2022",Satisfactory,"$555,781",,,Satisfactory,0,0,
724744,14079,GNB BANK,"GRUNDY CENTER, IA",Int Small Bank,"Oct 15, 2018",Satisfactory,"$537,888",,,Satisfactory,0,0,
648130,8018,GROVE BANK & TRUST,"MIAMI, FL",Int Small Bank,"Sep 17, 2018",Satisfactory,"$625,613",Needs to Improve,High Satisfactory,Satisfactory,0,0,
853112,,HEARTLAND BANK,"WHITEHALL, OH",Int Small Bank,"Oct 01, 2018",Satisfactory,"$1,001,144",High Satisfactory,High Satisfactory,Satisfactory,0,0,
969424,,HIGHLANDS UNION BANK,"ABINGDON, VA",Int Small Bank,"Jul 09, 2018",Needs to Improve,"$596,131",High Satisfactory,Low Satisfactory,Needs to Improve,0,0,
1004470,26523,BANKHOMETOWN,"OXFORD, MA",Int Small Bank,"Mar 02, 2026",Satisfactory,"$1,568,009",,,Satisfactory,0,0,
385471,31999,MADISON COUNTY BANK,"MADISON, NE",Int Small Bank,"May 14, 2018",Satisfactory,"$389,321",,,Satisfactory,0,0,
163370,,MANSFIELD CO-OPERATIVE BANK,"MANSFIELD, MA",Int Small Bank,"Feb 26, 2018",Satisfactory,"$506,539",,,Satisfactory,0,0,
683449,17903,MAQUOKETA STATE BANK,"MAQUOKETA, IA",Int Small Bank,"Apr 25, 2022",Satisfactory,"$404,040",,,Satisfactory,0,0,
935111,,MERCHANTS BANK OF BANGOR,"BANGOR, PA",Int Small Bank,"Nov 05, 2018",Outstanding,"$399,601",,,Satisfactory,0,0,
331713,7659,NEW TRIPOLI BANK,"NEW TRIPOLI, PA",Int Small Bank,"Jan 09, 2023",Satisfactory,"$596,936",,,Satisfactory,0,0,
530655,1147,"PEOPLES BANK, THE","PRATT, KS",Int Small Bank,"Oct 22, 2018",Satisfactory,"$362,080",,,Satisfactory,0,0,
2465881,34211,PLATTE VALLEY BANK,"SCOTTSBLUFF, NE",Int Small Bank,"May 14, 2018",Outstanding,"$556,930",,,Outstanding,0,0,
2668598,34760,PORTAGE COMMUNITY BANK,"RAVENNA, OH",Int Small Bank,"Nov 26, 2018",Satisfactory,"$329,763",,,Satisfactory,0,0,
417626,15243,PUTNAM COUNTY BANK,"HURRICANE, WV",Int Small Bank,"Dec 03, 2018",Satisfactory,"$609,190",High Satisfactory,Needs to Improve,Satisfactory,0,0,
516855,4178,SECURITY BANK,"TULSA, OK",Int Small Bank,"Jan 24, 2022",Satisfactory,"$782,762",,,Satisfactory,0,0,
568126,9871,"ST. HENRY BANK, THE","SAINT HENRY, OH",Int Small Bank,"Jan 27, 2025",Satisfactory,"$396,117",,,Satisfactory,0,0,
2631172,10383,STATE BANK FINANCIAL,"LA CROSSE, WI",Int Small Bank,"Mar 11, 2024",Satisfactory,"$449,240",High Satisfactory,Low Satisfactory,Satisfactory,0,0,
910118,9410,TIOGA STATE BANK,"SPENCER, NY",Int Small Bank,"Aug 13, 2018",Satisfactory,"$471,190",,,Satisfactory,0,0,
590248,,TOWN AND COUNTRY BANK,"SPRINGFIELD, IL",Int Small Bank,"Sep 27, 2021",Outstanding,"$878,304",,,Satisfactory,0,0,
3395293,,TRIUMPH BANK,"MEMPHIS, TN",Int Small Bank,"Mar 12, 2018",Satisfactory,"$683,391",,,Satisfactory,0,0,
274829,21883,TRUPOINT BANK,"GRUNDY, VA",Int Small Bank,"Oct 15, 2018",Satisfactory,"$432,026",,,Satisfactory,0,0,
728742,,UNITED BANK & CAPITAL TRUST COMPANY,"FRANKFORT, KY",Int Small Bank,"Jan 08, 2018",Satisfactory,"$1,627,864",,,Satisfactory,0,0,
1479470,33136,WOODLANDS BANK,"WILLIAMSPORT, PA",Int Small Bank,"Sep 20, 2021",Outstanding,"$536,881",,,Outstanding,0,0,
680457,1978,"YELLOWSTONE BANK, THE","LAUREL, MT",Int Small Bank,"Sep 12, 2022",Satisfactory,"$1,203,280",,,Satisfactory,0,0,
311050,4190,AMERICAN HERITAGE BANK,"SAPULPA, OK",Int Small Bank,"May 18, 2026",Satisfactory,"$1,443,414",High Satisfactory,High Satisfactory,Outstanding,0,0,
753324,6123,BANK OF CLARKE,"BERRYVILLE, VA",Int Small Bank,"Sep 16, 2024",Satisfactory,"$1,789,371",Outstanding,,Satisfactory,0,0,
576541,,CENTRAL BANK OF BRANSON,"BRANSON, MO",Int Small Bank,"Jul 15, 2019",Satisfactory,"$339,839",,,Satisfactory,0,0,
2826316,,CENTRAL BANK OF OKLAHOMA,"TULSA, OK",Int Small Bank,"Mar 11, 2019",Satisfactory,"$696,047",,,Outstanding,0,0,
214722,6862,CHESAPEAKE BANK,"KILMARNOCK, VA",Int Small Bank,"Nov 18, 2024",Satisfactory,"$1,585,686",,,Satisfactory,0,0,
869663,1715,CITIZENS 1ST BANK,"TYLER, TX",Int Small Bank,"Oct 21, 2019",Satisfactory,"$701,138",,,Satisfactory,0,0,
482053,5495,CITIZENS STATE BANK,"WISNER, NE",Int Small Bank,"Nov 04, 2019",Satisfactory,"$345,784",,,Satisfactory,0,0,
680130,8033,CITIZENS TRUST BANK,"ATLANTA, GA",Int Small Bank,"May 20, 2019",Satisfactory,"$410,144",Outstanding,Needs to Improve,Satisfactory,0,0,
865544,15690,CLEAR LAKE BANK AND TRUST COMPANY,"CLEAR LAKE, IA",Int Small Bank,"Oct 21, 2019",Satisfactory,"$442,522",,,Satisfactory,0,0,
886624,2443,"CLEAR MOUNTAIN BANK, INC.","BRUCETON MILLS, WV",Int Small Bank,"Oct 07, 2019",Satisfactory,"$638,908",,,Satisfactory,0,0,
189129,9139,"COMMERCIAL AND SAVINGS BANK OF MILLERSBURG, OHIO, THE","MILLERSBURG, OH",Int Small Bank,"Mar 25, 2024",Outstanding,"$1,156,221",Low Satisfactory,Needs to Improve,Satisfactory,0,0,
698144,287,COMMUNITY FINANCIAL SERVICES BANK,"BENTON, KY",Int Small Bank,"Oct 11, 2022",Satisfactory,"$1,400,575",,,Satisfactory,0,0,
790543,18272,COMMUNITY STATE BANK,"ANKENY, IA",Int Small Bank,"Oct 28, 2024",Satisfactory,"$1,523,552",,,Satisfactory,0,0,
544652,14264,CORNHUSKER BANK,"LINCOLN, NE",Int Small Bank,"Oct 23, 2023",Satisfactory,"$930,629",,,Satisfactory,0,0,
362717,13341,"CROGHAN COLONIAL BANK, THE","FREMONT, OH",Int Small Bank,"Sep 25, 2023",Outstanding,"$1,115,462",High Satisfactory,Needs to Improve,Satisfactory,0,0,
900146,18443,CUSB BANK,"CRESCO, IA",Int Small Bank,"May 16, 2022",Satisfactory,"$582,700",,,Satisfactory,0,0,
643340,982,EASTERN MICHIGAN BANK,"CROSWELL, MI",Int Small Bank,"Jun 03, 2019",Satisfactory,"$355,048",,,Satisfactory,0,0,
976226,,"FAUQUIER BANK, THE","WARRENTON, VA",Int Small Bank,"May 20, 2019",Satisfactory,"$700,032",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
312244,9288,FIRST BANK OF BERNE,"BERNE, IN",Int Small Bank,"Mar 03, 2025",Satisfactory,"$1,100,701",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
3374878,,FIRST CHOICE BANK,"CERRITOS, CA",Int Small Bank,"Sep 23, 2019",Outstanding,"$1,730,411",,,Outstanding,0,0,
442806,,FIRST IPSWICH BANK,"IPSWICH, MA",Int Small Bank,"Apr 08, 2019",Satisfactory,"$421,567",,,Satisfactory,0,0,
100843,1294,FNBC BANK,"ASH FLAT, AR",Int Small Bank,"Mar 04, 2019",Satisfactory,"$464,018",,,Satisfactory,0,0,
526854,20993,"HARDIN COUNTY BANK, THE","SAVANNAH, TN",Int Small Bank,"Jan 22, 2024",Satisfactory,"$590,925",,,Satisfactory,0,0,
1017425,11860,"KILLBUCK SAVINGS BANK COMPANY, THE","KILLBUCK, OH",Int Small Bank,"Jul 29, 2024",Outstanding,"$839,312",High Satisfactory,Needs to Improve,Satisfactory,0,0,
2963547,,LANDMARK COMMUNITY BANK,"PITTSTON, PA",Int Small Bank,"Jun 10, 2019",Satisfactory,"$335,558",,,Satisfactory,0,0,
709143,3711,MIDWEST BANK,"MONMOUTH, IL",Int Small Bank,"Sep 23, 2019",Satisfactory,"$500,252",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
2736714,34805,MISSION BANK,"BAKERSFIELD, CA",Int Small Bank,"Jul 29, 2019",Outstanding,"$723,707",,,Satisfactory,0,0,
2736451,34890,"NEW PEOPLES BANK, INC.","HONAKER, VA",Int Small Bank,"Jul 22, 2019",Satisfactory,"$720,772",Low Satisfactory,Needs to Improve,Satisfactory,0,0,
1864197,33457,OAK VALLEY COMMUNITY BANK,"OAKDALE, CA",Int Small Bank,"Oct 21, 2019",Outstanding,"$1,068,909",,,Satisfactory,0,0,
498317,384,"OHIO VALLEY BANK COMPANY, THE","GALLIPOLIS, OH",Int Small Bank,"Mar 31, 2025",Outstanding,"$1,478,660",,,Satisfactory,0,0,
685676,30182,OPPORTUNITY BANK OF MONTANA,"HELENA, MT",Int Small Bank,"Oct 24, 2022",Outstanding,"$1,874,166",,,Outstanding,0,0,
3490871,,PACIFIC ENTERPRISE BANK,"IRVINE, CA",Int Small Bank,"Jul 15, 2019",Satisfactory,"$502,156",,,Satisfactory,0,0,
3120646,57416,PATRIOT BANK,"MILLINGTON, TN",Int Small Bank,"Mar 04, 2019",Needs to Improve,"$332,883",,,Satisfactory,0,0,
819855,,PEOPLES BANK,"LUBBOCK, TX",Int Small Bank,"Oct 02, 2023",Satisfactory,"$1,018,252",,,Satisfactory,0,0,
746513,,PEOPLES BANK & TRUST COMPANY OF MADISON COUNTY,"BEREA, KY",Int Small Bank,"Aug 05, 2019",Outstanding,"$400,298",,,Satisfactory,0,0,
3398100,,PRESIDIO BANK,"SAN FRANCISCO, CA",Int Small Bank,"Apr 29, 2019",Outstanding,"$862,435",,,Outstanding,0,0,
865450,1905,"PROFINIUM, INC.","TRUMAN, MN",Int Small Bank,"Sep 22, 2025",Outstanding,"$518,911",,,Outstanding,0,0,
704755,,PROVIDENCE BANK,"COLUMBIA, MO",Int Small Bank,"Mar 25, 2019",Satisfactory,"$1,021,040",,,Satisfactory,0,0,
1008674,26620,READING CO-OPERATIVE BANK,"READING, MA",Int Small Bank,"Jul 31, 2023",Satisfactory,"$858,404",,,Satisfactory,0,0,
550952,2229,RSNB BANK,"ROCK SPRINGS, WY",Int Small Bank,"Sep 23, 2019",Satisfactory,"$358,425",,,Satisfactory,0,0,
3076220,57358,STIFEL BANK,"SAINT LOUIS, MO",Strategic Plan,"Mar 04, 2024",Outstanding,"$11,965,308",,,Satisfactory,0,0,
487357,13071,TOWN & COUNTRY BANK,"SALEM, MO",Int Small Bank,"May 20, 2019",Satisfactory,"$513,159",,,Satisfactory,0,0,
990352,17477,UNITED BANK & TRUST,"MARYSVILLE, KS",Int Small Bank,"Oct 24, 2022",Satisfactory,"$779,651",,,Satisfactory,0,0,
269049,11763,VISIONBANK OF IOWA,"AMES, IA",Int Small Bank,"Sep 16, 2019",Satisfactory,"$492,891",,,Satisfactory,0,0,
886204,23298,WATERTOWN SAVINGS BANK,"WATERTOWN, MA",Int Small Bank,"Oct 23, 2023",Satisfactory,"$1,416,091",,,Satisfactory,0,0,
833749,5335,WOODTRUST BANK,"WISCONSIN RAPIDS, WI",Int Small Bank,"Oct 06, 2025",Satisfactory,"$651,588",,,Satisfactory,0,0,
45551,5170,BANK MIDWEST,"SPIRIT LAKE, IA",Int Small Bank,"May 19, 2025",Satisfactory,"$1,376,433",High Satisfactory,,Satisfactory,0,0,
898458,23826,BANK OF JACKSON HOLE,"JACKSON, WY",Int Small Bank,"Feb 24, 2020",Satisfactory,"$912,635",,,Satisfactory,0,0,
24949,12788,BARABOO STATE BANK,"BARABOO, WI",Int Small Bank,"Jan 13, 2020",Satisfactory,"$370,864",,,Satisfactory,0,0,
611451,,CENTRAL BANK OF SEDALIA,"SEDALIA, MO",Int Small Bank,"Jul 27, 2020",Satisfactory,"$429,034",,,Outstanding,0,0,
539340,15883,DEMOTTE STATE BANK,"DEMOTTE, IN",Int Small Bank,"Aug 14, 2023",Satisfactory,"$530,051",,,Satisfactory,0,0,
3277241,57672,EMPIRE STATE BANK,"NEWBURGH, NY",Int Small Bank,"Nov 30, 2020",Satisfactory,"$420,909",,,Satisfactory,0,0,
592448,1299,EVOLVE BANK & TRUST,"WEST MEMPHIS, AR",Int Small Bank,"Nov 09, 2020",Satisfactory,"$603,606",,,Needs to Improve,0,0,
863746,9298,FARMERS & MERCHANTS SAVINGS BANK,"MANCHESTER, IA",Int Small Bank,"Jul 27, 2020",Satisfactory,"$581,431",,,Satisfactory,0,0,
744238,,"FARMERS AND MECHANICS BANK, THE","GALESBURG, IL",Int Small Bank,"Mar 09, 2020",Satisfactory,"$376,236",,,Satisfactory,0,0,
205243,15801,FARMERS AND MERCHANTS BANK,"BALDWYN, MS",Int Small Bank,"Aug 24, 2020",Satisfactory,"$385,170",,,Satisfactory,0,0,
619327,,"FARMERS BANK, WINDSOR VA","WINDSOR, VA",Int Small Bank,"Feb 03, 2020",Satisfactory,"$476,543",,,Satisfactory,0,0,
785473,,FIRST SAVINGS BANK,"JEFFERSONVILLE, IN",Int Small Bank,"Jan 06, 2020",Needs to Improve,"$1,218,618",,,Satisfactory,0,0,
326979,26397,GREENFIELD CO-OPERATIVE BANK,"GREENFIELD, MA",Int Small Bank,"Oct 05, 2020",Satisfactory,"$742,582",,,Satisfactory,0,0,
3412417,58396,JONAH BANK OF WYOMING,"CASPER, WY",Int Small Bank,"Mar 18, 2024",Satisfactory,"$514,019",,,Satisfactory,0,0,
196800,90190,MARTHA&#39;S VINEYARD BANK,"EDGARTOWN, MA",Int Small Bank,"Sep 25, 2023",Outstanding,"$1,340,291",,,Satisfactory,0,0,
153054,2468,"NORTHWESTERN BANK, THE","CHIPPEWA FALLS, WI",Int Small Bank,"Nov 02, 2020",Satisfactory,"$492,687",,,Outstanding,0,0,
909055,8903,PEOPLES BANK & TRUST CO.,"TROY, MO",Int Small Bank,"Feb 03, 2020",Satisfactory,"$455,557",,,Satisfactory,0,0,
