rssd,cert,name,location,method,exam_date,overall,assets,svc_rating,inv_rating,cd_rating,branches_topneed,exposure,top_county
2182786,33124,GOLDMAN SACHS BANK USA,"NEW YORK, NY",Wholesale,"Jul 08, 2019",Outstanding,"$191,517,000",,,,3,22931,"Salt Lake, UT"
497039,22354,COMMERCIAL BANK,"HARROGATE, TN",Large Bank,"Oct 06, 2025",Satisfactory,"$2,238,247",Low Satisfactory,Needs to Improve,Satisfactory,5,22634,"Davidson, TN"
494261,24045,BANC OF CALIFORNIA,"LOS ANGELES, CA",Large Bank,"Apr 14, 2025",Outstanding,"$33,458,298",High Satisfactory,Outstanding,,14,20247,"Orange, CA"
327855,3226,CIERA BANK,"GRAHAM, TX",Int Small Bank,"Sep 10, 2018",Satisfactory,"$524,741",,,Satisfactory,4,19012,"Denton, TX"
3150205,57414,WORTHINGTON BANK,"ARLINGTON, TX",Int Small Bank,"Apr 07, 2025",Satisfactory,"$612,795",,,Outstanding,5,19012,"Denton, TX"
673440,5633,FIRST SECURITY BANK,"SEARCY, AR",Large Bank,"Nov 03, 2025",Satisfactory,"$8,156,223",High Satisfactory,High Satisfactory,,24,18702,"Pulaski, AR"
856748,17211,"CITIZENS BANK, THE","BATESVILLE, AR",Int Small Bank,"May 15, 2023",Satisfactory,"$1,335,234",High Satisfactory,High Satisfactory,Satisfactory,4,18702,"Pulaski, AR"
648242,8136,INDEPENDENCE BANK OF KENTUCKY,"OWENSBORO, KY",Large Bank,"Oct 25, 2021",Satisfactory,"$3,062,572",Low Satisfactory,High Satisfactory,,2,18442,"Jefferson, KY"
266945,292,MONTICELLO BANKING COMPANY,"MONTICELLO, KY",Int Small Bank,"Sep 05, 2023",Satisfactory,"$1,164,339",,,Satisfactory,2,18442,"Jefferson, KY"
773247,1040,MIDLAND STATES BANK,"EFFINGHAM, IL",Large Bank,"Jun 21, 2021",Satisfactory,"$6,857,988",Low Satisfactory,Low Satisfactory,Satisfactory,8,17686,"Champaign, IL"
991340,9087,1ST SOURCE BANK,"SOUTH BEND, IN",Large Bank,"Sep 25, 2023",Outstanding,"$8,411,706",High Satisfactory,Needs to Improve,,4,16946,"Tippecanoe, IN"
23504,6976,BNB BANK,"BRIDGEHAMPTON, NY",Large Bank,"Jul 30, 2018",Satisfactory,"$4,446,676",High Satisfactory,High Satisfactory,,3,16702,"New York, NY"
1842065,33306,CIBC BANK USA,"CHICAGO, IL",Large Bank,"Aug 04, 2025",Outstanding,"$60,355,912",Outstanding,Outstanding,,2,15115,"St. Louis, MO"
150035,1487,FIRST FARMERS AND MERCHANTS BANK,"COLUMBIA, TN",Large Bank,"Mar 20, 2023",Satisfactory,"$1,970,197",Low Satisfactory,Low Satisfactory,Satisfactory,2,14947,"Davidson, TN"
3290240,57825,TRUXTON TRUST COMPANY,"NASHVILLE, TN",Int Small Bank,"Oct 31, 2022",Satisfactory,"$875,161",,,Satisfactory,1,14947,"Davidson, TN"
2877345,35521,INSBANK,"NASHVILLE, TN",Int Small Bank,"Nov 07, 2022",Satisfactory,"$721,727",,,Satisfactory,2,14947,"Davidson, TN"
693224,34589,ATLANTIC UNION BANK,"RICHMOND, VA",Large Bank,"Oct 16, 2023",Satisfactory,"$20,495,690",Low Satisfactory,Low Satisfactory,,6,14560,"Wake, NC"
463650,18489,ADAMS BANK & TRUST,"OGALLALA, NE",Int Small Bank,"Jul 27, 2020",Satisfactory,"$846,119",High Satisfactory,Low Satisfactory,Satisfactory,4,14024,"Boulder, CO"
12946,1291,FARMERS BANK & TRUST COMPANY,"MAGNOLIA, AR",Large Bank,"Nov 07, 2022",Satisfactory,"$2,479,838",Low Satisfactory,Low Satisfactory,Satisfactory,2,13720,"Collin, TX"
871769,1225,FARMERS AND MERCHANTS BANK OF LONG BEACH,"LONG BEACH, CA",Large Bank,"Sep 17, 2018",Satisfactory,"$7,274,369",Outstanding,Low Satisfactory,,15,13477,"Orange, CA"
3281510,57716,UNITED BUSINESS BANK,"WALNUT CREEK, CA",Int Small Bank,"Sep 09, 2019",Satisfactory,"$1,481,799",High Satisfactory,High Satisfactory,Satisfactory,3,13477,"Orange, CA"
3052813,57176,COMMERCEWEST BANK,"IRVINE, CA",Int Small Bank,"Jan 07, 2019",Satisfactory,"$589,928",,,Satisfactory,1,13477,"Orange, CA"
3284070,57803,ALLY BANK,"SANDY, UT",Strategic Plan,"Sep 28, 2020",Outstanding,"$172,910,000",,,,1,13437,"Salt Lake, UT"
614313,13339,"STATE BANK AND TRUST COMPANY, THE","DEFIANCE, OH",Large Bank,"Jan 30, 2023",Satisfactory,"$1,293,834",Low Satisfactory,Needs to Improve,,1,13253,"Franklin, OH"
542528,12982,CIVISTA BANK,"SANDUSKY, OH",Large Bank,"May 13, 2019",Satisfactory,"$2,133,513",Low Satisfactory,Low Satisfactory,Satisfactory,2,13253,"Franklin, OH"
2193616,33893,RAYMOND JAMES BANK,"SAINT PETERSBURG, FL",Large Bank,"May 22, 2023",Satisfactory,"$42,076,662",High Satisfactory,Outstanding,,1,12937,"Pinellas, FL"
35301,14,STATE STREET BANK AND TRUST COMPANY,"BOSTON, MA",Wholesale,"Sep 27, 2021",Outstanding,"$322,958,000",,,,1,11735,"Jackson, MO"
852544,1528,SOUTHERN BANCORP BANK,"ARKADELPHIA, AR",Large Bank,"Mar 17, 2025",Outstanding,"$2,739,322",Outstanding,Outstanding,Outstanding,2,10725,"Pulaski, AR"
