name,rssd,location,overall,exam_date,public_date,method,assets,svc_rating,inv_rating,cd_rating
EQUITY BANK,139656,"ANDOVER, KS",Satisfactory,"Aug 07, 2023","Sep 12, 2024",Large Bank,"$5,152,516",Low Satisfactory,Low Satisfactory,Satisfactory
FARMERS BANK & TRUST COMPANY,12946,"MAGNOLIA, AR",Satisfactory,"Nov 07, 2022","Apr 14, 2023",Large Bank,"$2,479,838",Low Satisfactory,Low Satisfactory,Satisfactory
FIRST BANK,216922,"SOUTHERN PINES, NC",Satisfactory,"Nov 06, 2023","May 22, 2025",Large Bank,"$11,977,575",High Satisfactory,High Satisfactory,
FIRST CITIZENS COMMUNITY BANK,978118,"MANSFIELD, PA",Satisfactory,"Mar 28, 2022","Oct 28, 2022",Large Bank,"$2,208,830",High Satisfactory,Needs to Improve,
FIRST INTERSTATE BANK,659855,"BILLINGS, MT",Outstanding,"Mar 18, 2019","Oct 28, 2019",Large Bank,"$12,151,833",High Satisfactory,Low Satisfactory,
FIRST MIDWEST BANK,1007846,"CHICAGO, IL",Outstanding,"Sep 30, 2019","Oct 15, 2020",Large Bank,"$15,430,682",High Satisfactory,Outstanding,
FIRST PREMIER BANK,374653,"SIOUX FALLS, SD",Satisfactory,"Sep 12, 2022","Nov 30, 2023",Large Bank,"$3,503,723",High Satisfactory,Low Satisfactory,Outstanding
FIRSTBANK,288853,"LAKEWOOD, CO",Outstanding,"Sep 15, 2025","Feb 15, 2026",Large Bank,"$26,761,023",Outstanding,High Satisfactory,Outstanding
FIVE STAR BANK,601416,"WARSAW, NY",Satisfactory,"May 06, 2019","Jun 29, 2020",Large Bank,"$4,221,168",Needs to Improve,High Satisfactory,
HAPPY STATE BANK,466857,"HAPPY, TX",Outstanding,"Jun 03, 2019","Oct 12, 2019",Large Bank,"$3,477,696",Outstanding,Outstanding,
HOMETRUST BANK,212577,"ASHEVILLE, NC",Satisfactory,"Sep 13, 2021","Jul 07, 2022",Large Bank,"$3,524,452",Low Satisfactory,Low Satisfactory,
MIDLAND STATES BANK,773247,"EFFINGHAM, IL",Satisfactory,"Jun 21, 2021","Jan 13, 2022",Large Bank,"$6,857,988",Low Satisfactory,Low Satisfactory,Satisfactory
MIDWEST BANKCENTRE,657459,"SAINT LOUIS, MO",Outstanding,"Feb 22, 2022","Jun 10, 2022",Large Bank,"$2,374,880",Low Satisfactory,Low Satisfactory,
ORIGIN BANK,667757,"CHOUDRANT, LA",Satisfactory,"Nov 04, 2019","May 31, 2020",Large Bank,"$5,088,357",Low Satisfactory,Low Satisfactory,
RCB BANK,945053,"CLAREMORE, OK",Satisfactory,"Sep 08, 2025","Mar 13, 2026",Large Bank,"$3,899,432",Low Satisfactory,Low Satisfactory,
REGIONS BANK,233031,"BIRMINGHAM, AL",Satisfactory,"Mar 04, 2019","Jan 02, 2020",Large Bank,"$123,928,444",Low Satisfactory,High Satisfactory,
SOUTH SHORE BANK,772008,"SOUTH WEYMOUTH, MA",Satisfactory,"Oct 07, 2019","Jan 30, 2021",Large Bank,"$1,482,441",High Satisfactory,Low Satisfactory,
SOUTHERN BANK,272272,"POPLAR BLUFF, MO",Satisfactory,"Oct 16, 2023","Mar 02, 2024",Large Bank,"$4,419,729",High Satisfactory,High Satisfactory,Satisfactory
VERITEX COMMUNITY BANK,3221468,"DALLAS, TX",Satisfactory,"Jun 17, 2024","Dec 23, 2024",Large Bank,"$12,384,382",High Satisfactory,High Satisfactory,Satisfactory
WESTERN ALLIANCE BANK,3138146,"PHOENIX, AZ",Satisfactory,"May 27, 2025","Aug 10, 2026",Strategic Plan,"$70,852,671",High Satisfactory,High Satisfactory,
