name,rssd,location,overall,exam_date,public_date,method,assets,svc_rating,inv_rating,cd_rating
BANK OF THE ORIENT,777366,"SAN FRANCISCO, CA",Satisfactory,"Aug 20, 2018","Dec 20, 2018",Int Small Bank,"$736,455",Low Satisfactory,Low Satisfactory,Satisfactory
BANK7,18854,"OKLAHOMA CITY, OK",Satisfactory,"Sep 17, 2018","Dec 20, 2018",Int Small Bank,"$705,775",,,Outstanding
CASS COMMERCIAL BANK,177751,"DES PERES, MO",Satisfactory,"May 13, 2024","Mar 03, 2025",Int Small Bank,"$1,344,302",Low Satisfactory,High Satisfactory,Satisfactory
CENTRAL BANK OF LAKE OF THE OZARKS,1015243,"OSAGE BEACH, MO",Satisfactory,"Nov 05, 2018","Feb 17, 2019",Int Small Bank,"$727,794",,,Satisfactory
CFG COMMUNITY BANK,2471239,"LUTHERVILLE, MD",Satisfactory,"Aug 06, 2018","Nov 28, 2018",Int Small Bank,"$809,373",,,Satisfactory
CHARTER BANK,160650,"EAU CLAIRE, WI",Satisfactory,"Aug 20, 2018","Jan 07, 2019",Int Small Bank,"$873,386",,,Satisfactory
CIERA BANK,327855,"GRAHAM, TX",Satisfactory,"Sep 10, 2018","Dec 16, 2018",Int Small Bank,"$524,741",,,Satisfactory
CITIZENS BANK & TRUST COMPANY,192147,"VAN BUREN, AR",Satisfactory,"Oct 24, 2022","Jan 29, 2023",Int Small Bank,"$539,942",,,Satisfactory
COMMENCEMENT BANK,3537897,"TACOMA, WA",Satisfactory,"Oct 06, 2025","Mar 09, 2026",Int Small Bank,"$681,488",,,Satisfactory
COMMERCIAL STATE BANK,361653,"ANDREWS, TX",Needs to Improve,"Jan 08, 2018","Jun 18, 2018",Int Small Bank,"$536,479",,,Needs to Improve
COMMUNITY FIRST BANK,175140,"BOSCOBEL, WI",Satisfactory,"Aug 12, 2024","Nov 04, 2024",Int Small Bank,"$592,807",,,Satisfactory
CORNERSTONE BANK,447100,"SPENCER, MA",Satisfactory,"Oct 15, 2018","Oct 25, 2019",Int Small Bank,"$1,132,009",,,Satisfactory
EQUITABLE BANK,115575,"EAST WEYMOUTH, MA",Satisfactory,"Jun 18, 2018","Apr 15, 2019",Int Small Bank,"$332,913",,,Satisfactory
FARMERS & MERCHANTS BANK,713926,"TIMBERVILLE, VA",Satisfactory,"Sep 22, 2025","Mar 02, 2026",Int Small Bank,"$1,310,287",,Low Satisfactory,Satisfactory
FIELDPOINT PRIVATE BANK & TRUST,3664588,"GREENWICH, CT",Needs to Improve,"Jan 16, 2024","Aug 18, 2024",Int Small Bank,"$1,656,434",,,Satisfactory
FINANCIAL FEDERAL BANK,590976,"MEMPHIS, TN",Satisfactory,"May 30, 2023","Aug 19, 2024",Int Small Bank,"$891,834",,,Satisfactory
FIRST AMERICAN BANK,653648,"FORT DODGE, IA",Satisfactory,"Jul 23, 2018","Mar 25, 2019",Int Small Bank,"$926,841",Low Satisfactory,Needs to Improve,Outstanding
FIRST BANK,899428,"STRASBURG, VA",Satisfactory,"Jun 23, 2025","Apr 04, 2026",Int Small Bank,"$2,033,720",,,Satisfactory
FIRST EAGLE BANK,759045,"CHICAGO, IL",Outstanding,"Nov 05, 2018","Feb 22, 2019",Int Small Bank,"$511,365",,,Outstanding
FIRST FLORIDA INTEGRITY BANK,3591282,"NAPLES, FL",Satisfactory,"Jun 11, 2018","Oct 19, 2018",Int Small Bank,"$1,423,696",,,Satisfactory
"FIRST STATE BANK AND TRUST COMPANY, INC.",489548,"CARUTHERSVILLE, MO",Satisfactory,"Oct 20, 2025","Jan 18, 2026",Int Small Bank,"$607,546",,,Satisfactory
FIRST WESTERN BANK,34742,"BOONEVILLE, AR",Satisfactory,"May 12, 2025","Sep 06, 2025",Int Small Bank,"$725,601",,,Satisfactory
FIRSTBANK,296456,"ANTLERS, OK",Satisfactory,"Feb 23, 2026","May 11, 2026",Int Small Bank,"$640,630",,,Satisfactory
FNB COMMUNITY BANK,839255,"MIDWEST CITY, OK",Satisfactory,"Sep 19, 2022","Dec 05, 2022",Int Small Bank,"$621,516",,,Satisfactory
FRANKLIN SAVINGS BANK,228000,"FARMINGTON, ME",Outstanding,"Nov 05, 2018","Mar 04, 2019",Int Small Bank,"$406,919",High Satisfactory,Low Satisfactory,Satisfactory
FRAZER BANK,245351,"ALTUS, OK",Satisfactory,"Jul 09, 2018","Oct 11, 2018",Int Small Bank,"$331,190",,,Satisfactory
"FREEDOM BANK OF VIRGINIA, THE",3019982,"FAIRFAX, VA",Satisfactory,"Sep 24, 2018","Jul 12, 2019",Int Small Bank,"$512,830",,,Outstanding
"FRIENDSHIP STATE BANK, THE",427241,"FRIENDSHIP, IN",Satisfactory,"Oct 17, 2022","Feb 06, 2023",Int Small Bank,"$555,781",,,Satisfactory
GNB BANK,724744,"GRUNDY CENTER, IA",Satisfactory,"Oct 15, 2018","Jan 18, 2019",Int Small Bank,"$537,888",,,Satisfactory
GROVE BANK & TRUST,648130,"MIAMI, FL",Satisfactory,"Sep 17, 2018","Dec 09, 2018",Int Small Bank,"$625,613",Needs to Improve,High Satisfactory,Satisfactory
HEARTLAND BANK,853112,"WHITEHALL, OH",Satisfactory,"Oct 01, 2018","Jul 06, 2019",Int Small Bank,"$1,001,144",High Satisfactory,High Satisfactory,Satisfactory
HIGHLANDS UNION BANK,969424,"ABINGDON, VA",Needs to Improve,"Jul 09, 2018","Dec 17, 2018",Int Small Bank,"$596,131",High Satisfactory,Low Satisfactory,Needs to Improve
BANKHOMETOWN,1004470,"OXFORD, MA",Satisfactory,"Mar 02, 2026","Jul 25, 2026",Int Small Bank,"$1,568,009",,,Satisfactory
MADISON COUNTY BANK,385471,"MADISON, NE",Satisfactory,"May 14, 2018","Aug 14, 2018",Int Small Bank,"$389,321",,,Satisfactory
MANSFIELD CO-OPERATIVE BANK,163370,"MANSFIELD, MA",Satisfactory,"Feb 26, 2018","Dec 10, 2018",Int Small Bank,"$506,539",,,Satisfactory
MAQUOKETA STATE BANK,683449,"MAQUOKETA, IA",Satisfactory,"Apr 25, 2022","Aug 05, 2022",Int Small Bank,"$404,040",,,Satisfactory
MERCHANTS BANK OF BANGOR,935111,"BANGOR, PA",Outstanding,"Nov 05, 2018","May 17, 2019",Int Small Bank,"$399,601",,,Satisfactory
NEW TRIPOLI BANK,331713,"NEW TRIPOLI, PA",Satisfactory,"Jan 09, 2023","Jun 08, 2023",Int Small Bank,"$596,936",,,Satisfactory
OLD MISSOURI BANK,2785646,"SPRINGFIELD, MO",Satisfactory,"Mar 06, 2023","Jun 03, 2023",Int Small Bank,"$1,070,997",,,Satisfactory
"PEOPLES BANK, THE",530655,"PRATT, KS",Satisfactory,"Oct 22, 2018","Jan 06, 2019",Int Small Bank,"$362,080",,,Satisfactory
PLATTE VALLEY BANK,2465881,"SCOTTSBLUFF, NE",Outstanding,"May 14, 2018","Aug 16, 2018",Int Small Bank,"$556,930",,,Outstanding
POINTBANK,844567,"PILOT POINT, TX",Satisfactory,"Jul 26, 2021","Nov 19, 2021",Int Small Bank,"$715,760",,,Needs to Improve
PORTAGE COMMUNITY BANK,2668598,"RAVENNA, OH",Satisfactory,"Nov 26, 2018","Sep 13, 2019",Int Small Bank,"$329,763",,,Satisfactory
PUTNAM COUNTY BANK,417626,"HURRICANE, WV",Satisfactory,"Dec 03, 2018","Jun 23, 2019",Int Small Bank,"$609,190",High Satisfactory,Needs to Improve,Satisfactory
SECURITY BANK,516855,"TULSA, OK",Satisfactory,"Jan 24, 2022","Apr 11, 2022",Int Small Bank,"$782,762",,,Satisfactory
"ST. HENRY BANK, THE",568126,"SAINT HENRY, OH",Satisfactory,"Jan 27, 2025","Aug 31, 2025",Int Small Bank,"$396,117",,,Satisfactory
STATE BANK FINANCIAL,2631172,"LA CROSSE, WI",Satisfactory,"Mar 11, 2024","Aug 15, 2024",Int Small Bank,"$449,240",High Satisfactory,Low Satisfactory,Satisfactory
TIOGA STATE BANK,910118,"SPENCER, NY",Satisfactory,"Aug 13, 2018","Jan 17, 2019",Int Small Bank,"$471,190",,,Satisfactory
TOWN AND COUNTRY BANK,590248,"SPRINGFIELD, IL",Outstanding,"Sep 27, 2021","Feb 13, 2022",Int Small Bank,"$878,304",,,Satisfactory
TRIUMPH BANK,3395293,"MEMPHIS, TN",Satisfactory,"Mar 12, 2018","Jan 20, 2019",Int Small Bank,"$683,391",,,Satisfactory
TRUPOINT BANK,274829,"GRUNDY, VA",Satisfactory,"Oct 15, 2018","Jan 19, 2019",Int Small Bank,"$432,026",,,Satisfactory
UNITED BANK & CAPITAL TRUST COMPANY,728742,"FRANKFORT, KY",Satisfactory,"Jan 08, 2018","Apr 25, 2018",Int Small Bank,"$1,627,864",,,Satisfactory
WOODLANDS BANK,1479470,"WILLIAMSPORT, PA",Outstanding,"Sep 20, 2021","May 09, 2022",Int Small Bank,"$536,881",,,Outstanding
"YELLOWSTONE BANK, THE",680457,"LAUREL, MT",Satisfactory,"Sep 12, 2022","Feb 13, 2023",Int Small Bank,"$1,203,280",,,Satisfactory
AMERICAN HERITAGE BANK,311050,"SAPULPA, OK",Satisfactory,"May 18, 2026","Aug 02, 2026",Int Small Bank,"$1,443,414",High Satisfactory,High Satisfactory,Outstanding
BANK OF CLARKE,753324,"BERRYVILLE, VA",Satisfactory,"Sep 16, 2024","May 15, 2025",Int Small Bank,"$1,789,371",Outstanding,,Satisfactory
BENCHMARK COMMUNITY BANK,94522,"KENBRIDGE, VA",Satisfactory,"Aug 15, 2022","Feb 04, 2023",Int Small Bank,"$1,060,822",High Satisfactory,Needs to Improve,Satisfactory
CBI BANK & TRUST,830542,"MUSCATINE, IA",Outstanding,"Oct 20, 2025","Mar 08, 2026",Int Small Bank,"$1,575,685",High Satisfactory,High Satisfactory,Satisfactory
CENTRAL BANK OF BRANSON,576541,"BRANSON, MO",Satisfactory,"Jul 15, 2019","Oct 18, 2019",Int Small Bank,"$339,839",,,Satisfactory
CENTRAL BANK OF OKLAHOMA,2826316,"TULSA, OK",Satisfactory,"Mar 11, 2019","Jun 10, 2019",Int Small Bank,"$696,047",,,Outstanding
CHESAPEAKE BANK,214722,"KILMARNOCK, VA",Satisfactory,"Nov 18, 2024","May 09, 2025",Int Small Bank,"$1,585,686",,,Satisfactory
CITIZENS 1ST BANK,869663,"TYLER, TX",Satisfactory,"Oct 21, 2019","Jan 17, 2020",Int Small Bank,"$701,138",,,Satisfactory
"CITIZENS BANK, THE",856748,"BATESVILLE, AR",Satisfactory,"May 15, 2023","Mar 30, 2024",Int Small Bank,"$1,335,234",High Satisfactory,High Satisfactory,Satisfactory
CITIZENS STATE BANK,482053,"WISNER, NE",Satisfactory,"Nov 04, 2019","Feb 13, 2020",Int Small Bank,"$345,784",,,Satisfactory
CITIZENS TRUST BANK,680130,"ATLANTA, GA",Satisfactory,"May 20, 2019","May 15, 2020",Int Small Bank,"$410,144",Outstanding,Needs to Improve,Satisfactory
CLEAR LAKE BANK AND TRUST COMPANY,865544,"CLEAR LAKE, IA",Satisfactory,"Oct 21, 2019","Jan 19, 2020",Int Small Bank,"$442,522",,,Satisfactory
"CLEAR MOUNTAIN BANK, INC.",886624,"BRUCETON MILLS, WV",Satisfactory,"Oct 07, 2019","Feb 10, 2020",Int Small Bank,"$638,908",,,Satisfactory
COMMERCEWEST BANK,3052813,"IRVINE, CA",Satisfactory,"Jan 07, 2019","May 27, 2019",Int Small Bank,"$589,928",,,Satisfactory
"COMMERCIAL AND SAVINGS BANK OF MILLERSBURG, OHIO, THE",189129,"MILLERSBURG, OH",Outstanding,"Mar 25, 2024","Nov 24, 2024",Int Small Bank,"$1,156,221",Low Satisfactory,Needs to Improve,Satisfactory
COMMUNITY FINANCIAL SERVICES BANK,698144,"BENTON, KY",Satisfactory,"Oct 11, 2022","Jan 19, 2023",Int Small Bank,"$1,400,575",,,Satisfactory
COMMUNITY STATE BANK,790543,"ANKENY, IA",Satisfactory,"Oct 28, 2024","Jun 21, 2025",Int Small Bank,"$1,523,552",,,Satisfactory
CORNHUSKER BANK,544652,"LINCOLN, NE",Satisfactory,"Oct 23, 2023","Jan 20, 2024",Int Small Bank,"$930,629",,,Satisfactory
"CROGHAN COLONIAL BANK, THE",362717,"FREMONT, OH",Outstanding,"Sep 25, 2023","Apr 11, 2025",Int Small Bank,"$1,115,462",High Satisfactory,Needs to Improve,Satisfactory
CUSB BANK,900146,"CRESCO, IA",Satisfactory,"May 16, 2022","Jul 23, 2022",Int Small Bank,"$582,700",,,Satisfactory
EASTERN MICHIGAN BANK,643340,"CROSWELL, MI",Satisfactory,"Jun 03, 2019","Sep 01, 2019",Int Small Bank,"$355,048",,,Satisfactory
"FAUQUIER BANK, THE",976226,"WARRENTON, VA",Satisfactory,"May 20, 2019","Feb 16, 2020",Int Small Bank,"$700,032",Low Satisfactory,Low Satisfactory,Satisfactory
FIRST BANK OF BERNE,312244,"BERNE, IN",Satisfactory,"Mar 03, 2025","May 16, 2025",Int Small Bank,"$1,100,701",Low Satisfactory,Low Satisfactory,Satisfactory
FIRST CHOICE BANK,3374878,"CERRITOS, CA",Outstanding,"Sep 23, 2019","Jan 13, 2020",Int Small Bank,"$1,730,411",,,Outstanding
FIRST IPSWICH BANK,442806,"IPSWICH, MA",Satisfactory,"Apr 08, 2019","Aug 17, 2019",Int Small Bank,"$421,567",,,Satisfactory
FNBC BANK,100843,"ASH FLAT, AR",Satisfactory,"Mar 04, 2019","Jun 08, 2019",Int Small Bank,"$464,018",,,Satisfactory
"HARDIN COUNTY BANK, THE",526854,"SAVANNAH, TN",Satisfactory,"Jan 22, 2024","May 06, 2024",Int Small Bank,"$590,925",,,Satisfactory
"KILLBUCK SAVINGS BANK COMPANY, THE",1017425,"KILLBUCK, OH",Outstanding,"Jul 29, 2024","Jan 18, 2025",Int Small Bank,"$839,312",High Satisfactory,Needs to Improve,Satisfactory
LANDMARK COMMUNITY BANK,2963547,"PITTSTON, PA",Satisfactory,"Jun 10, 2019","Nov 29, 2019",Int Small Bank,"$335,558",,,Satisfactory
LINDELL BANK & TRUST COMPANY,185859,"SAINT LOUIS, MO",Satisfactory,"Sep 05, 2023","Dec 18, 2023",Int Small Bank,"$863,098",Low Satisfactory,Low Satisfactory,Satisfactory
MIDWEST BANK,709143,"MONMOUTH, IL",Satisfactory,"Sep 23, 2019","Jan 31, 2020",Int Small Bank,"$500,252",Low Satisfactory,Low Satisfactory,Satisfactory
MISSION BANK,2736714,"BAKERSFIELD, CA",Outstanding,"Jul 29, 2019","Nov 11, 2019",Int Small Bank,"$723,707",,,Satisfactory
MONTGOMERY BANK,613558,"SIKESTON, MO",Satisfactory,"May 01, 2023","Aug 06, 2023",Int Small Bank,"$1,300,407",,,Outstanding
"NEW PEOPLES BANK, INC.",2736451,"HONAKER, VA",Satisfactory,"Jul 22, 2019","Nov 16, 2019",Int Small Bank,"$720,772",Low Satisfactory,Needs to Improve,Satisfactory
NORTHSTAR BANK,2958972,"BAD AXE, MI",Satisfactory,"Feb 06, 2023","Jul 10, 2023",Int Small Bank,"$911,313",,,Satisfactory
OAK VALLEY COMMUNITY BANK,1864197,"OAKDALE, CA",Outstanding,"Oct 21, 2019","Feb 14, 2020",Int Small Bank,"$1,068,909",,,Satisfactory
"OHIO VALLEY BANK COMPANY, THE",498317,"GALLIPOLIS, OH",Outstanding,"Mar 31, 2025","Feb 14, 2026",Int Small Bank,"$1,478,660",,,Satisfactory
OPPORTUNITY BANK OF MONTANA,685676,"HELENA, MT",Outstanding,"Oct 24, 2022","Apr 29, 2024",Int Small Bank,"$1,874,166",,,Outstanding
PACIFIC ENTERPRISE BANK,3490871,"IRVINE, CA",Satisfactory,"Jul 15, 2019","Feb 10, 2020",Int Small Bank,"$502,156",,,Satisfactory
PATRIOT BANK,3120646,"MILLINGTON, TN",Needs to Improve,"Mar 04, 2019","Feb 25, 2021",Int Small Bank,"$332,883",,,Satisfactory
PEOPLES BANK,819855,"LUBBOCK, TX",Satisfactory,"Oct 02, 2023","Mar 04, 2024",Int Small Bank,"$1,018,252",,,Satisfactory
PEOPLES BANK & TRUST COMPANY OF MADISON COUNTY,746513,"BEREA, KY",Outstanding,"Aug 05, 2019","Oct 24, 2019",Int Small Bank,"$400,298",,,Satisfactory
PRESIDIO BANK,3398100,"SAN FRANCISCO, CA",Outstanding,"Apr 29, 2019","Aug 30, 2019",Int Small Bank,"$862,435",,,Outstanding
"PROFINIUM, INC.",865450,"TRUMAN, MN",Outstanding,"Sep 22, 2025","Feb 15, 2026",Int Small Bank,"$518,911",,,Outstanding
PROVIDENCE BANK,704755,"COLUMBIA, MO",Satisfactory,"Mar 25, 2019","Jul 12, 2019",Int Small Bank,"$1,021,040",,,Satisfactory
READING CO-OPERATIVE BANK,1008674,"READING, MA",Satisfactory,"Jul 31, 2023","Feb 11, 2024",Int Small Bank,"$858,404",,,Satisfactory
RSNB BANK,550952,"ROCK SPRINGS, WY",Satisfactory,"Sep 23, 2019","Dec 09, 2019",Int Small Bank,"$358,425",,,Satisfactory
STIFEL BANK,3076220,"SAINT LOUIS, MO",Outstanding,"Mar 04, 2024","Sep 21, 2024",Strategic Plan,"$11,965,308",,,Satisfactory
TENNESSEE STATE BANK,479839,"PIGEON FORGE, TN",Satisfactory,"Jun 12, 2023","Oct 29, 2023",Int Small Bank,"$1,035,492",Low Satisfactory,Needs to Improve,Satisfactory
TOWN & COUNTRY BANK,487357,"SALEM, MO",Satisfactory,"May 20, 2019","Sep 14, 2019",Int Small Bank,"$513,159",,,Satisfactory
TRUXTON TRUST COMPANY,3290240,"NASHVILLE, TN",Satisfactory,"Oct 31, 2022","Jan 28, 2023",Int Small Bank,"$875,161",,,Satisfactory
UNITED BANK & TRUST,990352,"MARYSVILLE, KS",Satisfactory,"Oct 24, 2022","Jan 23, 2023",Int Small Bank,"$779,651",,,Satisfactory
VISIONBANK OF IOWA,269049,"AMES, IA",Satisfactory,"Sep 16, 2019","May 02, 2020",Int Small Bank,"$492,891",,,Satisfactory
WATERTOWN SAVINGS BANK,886204,"WATERTOWN, MA",Satisfactory,"Oct 23, 2023","Mar 03, 2024",Int Small Bank,"$1,416,091",,,Satisfactory
WOODTRUST BANK,833749,"WISCONSIN RAPIDS, WI",Satisfactory,"Oct 06, 2025","Feb 23, 2026",Int Small Bank,"$651,588",,,Satisfactory
ADAMS BANK & TRUST,463650,"OGALLALA, NE",Satisfactory,"Jul 27, 2020","Nov 02, 2020",Int Small Bank,"$846,119",High Satisfactory,Low Satisfactory,Satisfactory
BANK MIDWEST,45551,"SPIRIT LAKE, IA",Satisfactory,"May 19, 2025","Aug 24, 2025",Int Small Bank,"$1,376,433",High Satisfactory,,Satisfactory
BANK OF JACKSON HOLE,898458,"JACKSON, WY",Satisfactory,"Feb 24, 2020","May 18, 2020",Int Small Bank,"$912,635",,,Satisfactory
BARABOO STATE BANK,24949,"BARABOO, WI",Satisfactory,"Jan 13, 2020","May 25, 2020",Int Small Bank,"$370,864",,,Satisfactory
CENTRAL BANK,31255,"HOUSTON, TX",Satisfactory,"Nov 09, 2020","Apr 30, 2021",Int Small Bank,"$808,067",,,Satisfactory
CENTRAL BANK OF SEDALIA,611451,"SEDALIA, MO",Satisfactory,"Jul 27, 2020","Oct 19, 2020",Int Small Bank,"$429,034",,,Outstanding
DEMOTTE STATE BANK,539340,"DEMOTTE, IN",Satisfactory,"Aug 14, 2023","Jan 28, 2024",Int Small Bank,"$530,051",,,Satisfactory
EAGLE BANK AND TRUST COMPANY,453446,"LITTLE ROCK, AR",Satisfactory,"Sep 03, 2024","Apr 06, 2025",Int Small Bank,"$474,036",,,Satisfactory
EMPIRE STATE BANK,3277241,"NEWBURGH, NY",Satisfactory,"Nov 30, 2020","May 17, 2021",Int Small Bank,"$420,909",,,Satisfactory
EVOLVE BANK & TRUST,592448,"WEST MEMPHIS, AR",Satisfactory,"Nov 09, 2020","Dec 09, 2021",Int Small Bank,"$603,606",,,Needs to Improve
FARMERS & MERCHANTS SAVINGS BANK,863746,"MANCHESTER, IA",Satisfactory,"Jul 27, 2020","Nov 01, 2020",Int Small Bank,"$581,431",,,Satisfactory
"FARMERS AND MECHANICS BANK, THE",744238,"GALESBURG, IL",Satisfactory,"Mar 09, 2020","Jun 29, 2020",Int Small Bank,"$376,236",,,Satisfactory
FARMERS AND MERCHANTS BANK,205243,"BALDWYN, MS",Satisfactory,"Aug 24, 2020","Dec 03, 2020",Int Small Bank,"$385,170",,,Satisfactory
"FARMERS BANK, WINDSOR VA",619327,"WINDSOR, VA",Satisfactory,"Feb 03, 2020","Nov 07, 2020",Int Small Bank,"$476,543",,,Satisfactory
FIRST SAVINGS BANK,785473,"JEFFERSONVILLE, IN",Needs to Improve,"Jan 06, 2020","Nov 08, 2021",Int Small Bank,"$1,218,618",,,Satisfactory
GREENFIELD CO-OPERATIVE BANK,326979,"GREENFIELD, MA",Satisfactory,"Oct 05, 2020","Jan 21, 2021",Int Small Bank,"$742,582",,,Satisfactory
JONAH BANK OF WYOMING,3412417,"CASPER, WY",Satisfactory,"Mar 18, 2024","Jun 03, 2024",Int Small Bank,"$514,019",,,Satisfactory
MARTHA&#39;S VINEYARD BANK,196800,"EDGARTOWN, MA",Outstanding,"Sep 25, 2023","Jan 18, 2024",Int Small Bank,"$1,340,291",,,Satisfactory
MONTICELLO BANKING COMPANY,266945,"MONTICELLO, KY",Satisfactory,"Sep 05, 2023","Jan 27, 2024",Int Small Bank,"$1,164,339",,,Satisfactory
"NORTH SIDE BANK AND TRUST COMPANY, THE",615217,"CINCINNATI, OH",Outstanding,"Oct 07, 2024","Feb 15, 2026",Int Small Bank,"$1,009,577",Low Satisfactory,Substantial Noncompliance,Satisfactory
"NORTHWESTERN BANK, THE",153054,"CHIPPEWA FALLS, WI",Satisfactory,"Nov 02, 2020","Feb 15, 2021",Int Small Bank,"$492,687",,,Outstanding
PEOPLES BANK & TRUST CO.,909055,"TROY, MO",Satisfactory,"Feb 03, 2020","May 25, 2020",Int Small Bank,"$455,557",,,Satisfactory
PREMIER BANK,2687133,"DUBUQUE, IA",Satisfactory,"Sep 21, 2020","Sep 02, 2021",Int Small Bank,"$347,911",,,Satisfactory
PRIMEBANK,671147,"LE MARS, IA",Satisfactory,"Sep 21, 2020","Dec 14, 2020",Int Small Bank,"$513,287",,,Satisfactory
RELIANT BANK,3415463,"BRENTWOOD, TN",Satisfactory,"Nov 09, 2020","Apr 25, 2021",Int Small Bank,"$2,982,303",,,Satisfactory
UNITED SECURITY BANK,1162017,"FRESNO, CA",Satisfactory,"Oct 26, 2020","Feb 15, 2021",Int Small Bank,"$956,213",High Satisfactory,High Satisfactory,Satisfactory
UNITED TEXAS BANK,726953,"DALLAS, TX",Satisfactory,"Nov 03, 2021","Feb 20, 2022",Int Small Bank,"$1,109,562",,,Satisfactory
UWHARRIE BANK,590220,"ALBEMARLE, NC",Satisfactory,"Nov 16, 2020","Jun 20, 2021",Int Small Bank,"$787,146",,,Satisfactory
WALPOLE CO-OPERATIVE BANK,63573,"WALPOLE, MA",Satisfactory,"May 08, 2023","Sep 10, 2023",Int Small Bank,"$584,640",,,Satisfactory
WELLINGTON STATE BANK,371362,"WELLINGTON, TX",Satisfactory,"Oct 23, 2023","Feb 10, 2024",Int Small Bank,"$562,371",,,Satisfactory
"ANDOVER BANK, THE",27614,"ANDOVER, OH",Outstanding,"Feb 24, 2025","Jan 24, 2026",Int Small Bank,"$583,080",,,Satisfactory
"BANK OF FAYETTE COUNTY, THE",466754,"PIPERTON, TN",Satisfactory,"Jul 22, 2024","Nov 02, 2024",Int Small Bank,"$924,008",,,Satisfactory
BANK OF TEXAS,925653,"MIDLAND, TX",Satisfactory,"Sep 16, 2024","Jan 13, 2025",Int Small Bank,"$534,531",,,Satisfactory
BLUESTONE BANK,699105,"RAYNHAM, MA",Satisfactory,"Nov 04, 2024","Mar 02, 2025",Int Small Bank,"$1,529,846",,,Satisfactory
CITIZENS BANK AND TRUST COMPANY,991621,"BLACKSTONE, VA",Satisfactory,"Sep 27, 2021","Feb 07, 2022",Int Small Bank,"$533,003",Low Satisfactory,Low Satisfactory,Satisfactory
"CITIZENS BANK OF KENTUCKY, INC",495419,"PAINTSVILLE, KY",Outstanding,"Nov 29, 2021","Mar 25, 2022",Int Small Bank,"$776,322",,,Outstanding
DIAMOND BANK,27847,"MURFREESBORO, AR",Satisfactory,"Mar 17, 2025","Jun 16, 2025",Int Small Bank,"$836,310",,,Satisfactory
DIETERICH BANK,771140,"EFFINGHAM, IL",Satisfactory,"Jan 21, 2025","Jun 12, 2025",Int Small Bank,"$1,407,708",,,Satisfactory
FARMERS BANK OF NORTHERN MISSOURI,303952,"UNIONVILLE, MO",Satisfactory,"Feb 08, 2021","May 24, 2021",Int Small Bank,"$423,619",,,Satisfactory
FARMERS STATE BANK,475354,"VICTOR, MT",Satisfactory,"May 10, 2021","Oct 22, 2021",Int Small Bank,"$577,693",,,Satisfactory
FIDELITY BANK,848248,"WEST MEMPHIS, AR",Satisfactory,"May 05, 2025","Aug 10, 2025",Int Small Bank,"$546,524",,,Outstanding
FIELD & MAIN BANK,618740,"HENDERSON, KY",Satisfactory,"Jan 13, 2025","Apr 27, 2025",Int Small Bank,"$769,106",,,Satisfactory
FIRST BANK,376442,"WAVERLY, IA",Satisfactory,"Sep 09, 2024","Jan 24, 2025",Int Small Bank,"$715,627",,,Satisfactory
FIRST FINANCIAL BANK,48374,"EL DORADO, AR",Satisfactory,"Sep 06, 2021","Jan 03, 2022",Int Small Bank,"$1,557,182",Low Satisfactory,Low Satisfactory,Satisfactory
FIRST NORTHERN BANK OF WYOMING,868956,"BUFFALO, WY",Satisfactory,"Oct 25, 2021","Jan 23, 2022",Int Small Bank,"$527,452",,,Satisfactory
FIRST STATE BANK NEBRASKA,499453,"LINCOLN, NE",Satisfactory,"May 24, 2021","Aug 30, 2021",Int Small Bank,"$755,752",,,Satisfactory
INSOUTH BANK,329550,"BROWNSVILLE, TN",Satisfactory,"Mar 15, 2021","Aug 16, 2021",Int Small Bank,"$369,487",,,Satisfactory
IOWA STATE BANK,982348,"HULL, IA",Satisfactory,"Mar 08, 2021","Jun 07, 2021",Int Small Bank,"$728,627",,,Satisfactory
LONE STAR STATE BANK OF WEST TEXAS,3607062,"LUBBOCK, TX",Satisfactory,"Jun 28, 2021","Oct 01, 2021",Int Small Bank,"$1,051,741",,,Satisfactory
MINSTER BANK,604024,"MINSTER, OH",Outstanding,"Oct 14, 2025","Mar 15, 2026",Int Small Bank,"$778,145",,,Satisfactory
MNB BANK,575759,"MCCOOK, NE",Satisfactory,"Nov 15, 2021","Feb 14, 2022",Int Small Bank,"$408,310",,,Outstanding
NORTH AMERICAN BANKING COMPANY,2631846,"ROSEVILLE, MN",Satisfactory,"Jun 09, 2025","Oct 13, 2025",Int Small Bank,"$1,368,790",,,Satisfactory
NORTH STATE BANK,2915461,"RALEIGH, NC",Satisfactory,"Jun 30, 2025","Nov 27, 2025",Int Small Bank,"$1,435,137",,,Satisfactory
"PADUCAH BANK AND TRUST COMPANY, THE",285740,"PADUCAH, KY",Satisfactory,"Sep 20, 2021","Jan 03, 2022",Int Small Bank,"$811,568",,,Satisfactory
PEOPLES BANK,968249,"CLIVE, IA",Satisfactory,"Oct 27, 2025","Jan 30, 2026",Int Small Bank,"$485,897",,,Satisfactory
PIONEER BANK,920854,"MAPLETON, MN",Outstanding,"Jan 25, 2021","Jun 21, 2021",Int Small Bank,"$676,506",,,Outstanding
PLUMAS BANK,670467,"QUINCY, CA",Satisfactory,"Jun 07, 2021","Sep 30, 2021",Int Small Bank,"$1,205,927",,,Satisfactory
