Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
850547,CVS Pharmacy 6505,978 Boylston St,,Newton Hlds,MA,02461,1504,MIDDLESEX,Other,42.318893,-71.211876,,,63411
1606905,Oliver's Farmstand,36 Main St,,Goshen,MA,01032,9610,HAMPSHIRE,Grocery Store,42.44072,-72.799194,,,63684
833420,Richdale Convenience Store,149 Walnut St,,Lynn,MA,01905,1168,ESSEX,Convenience Store,42.470371,-70.971397,,,63855
821641,D & D Convenience Store,1002 Dorchester Ave,,Dorchester,MA,02125,1314,SUFFOLK,Convenience Store,42.316429,-71.056511,,,64157
822488,Target 1281,250 Fortune Blvd,,Milford,MA,01757,1743,WORCESTER,Super Store,42.160561,-71.4981,,,64225
822490,Target 1348,529 Lincoln St,,Worcester,MA,01605,1905,WORCESTER,Super Store,42.292194,-71.773582,,,64234
823302,Gulf Express Mart 102,399 Southbridge St,,Worcester,MA,01610,1709,WORCESTER,Convenience Store,42.251289,-71.808998,,,64345
823677,WALGREENS 09152,937 W Boylston St,,Worcester,MA,01606,1139,WORCESTER,Other,42.327206,-71.792015,,,64365
835194,Roche Bros Supermarkets Inc 119,1100 Union St,,Westborough,MA,01581,5409,WORCESTER,Supermarket,42.269592,-71.608604,,,64386
821862,Asian Food Market,284 Southampton Rd,,Westfield,MA,01085,1321,HAMPDEN,Other,42.148235,-72.729248,,,64421
1583953,Helens Variety,292 Main St,,Northborough,MA,01532,1667,WORCESTER,Convenience Store,42.32753,-71.620293,,,64653
917090,Family Dollar 7248,995 Blue Hill Ave,Ste 1,Dorchester Center,MA,02124,2828,SUFFOLK,Other,42.290367,-71.089554,,,65017
919663,Walgreens 09477,2177 Ocean St,,Marshfield,MA,02050,3192,PLYMOUTH,Other,42.09343,-70.718071,,,65166
919673,Walgreens 11120,1145 Main St,,Holden,MA,01520,1221,WORCESTER,Other,42.349529,-71.860153,,,65168
