rank,county,state,unenrolled_persons,method,n_pressured_banks,total_offices,largest_bank,largest_bank_assets_k,largest_bank_regulator,largest_bank_inv,largest_bank_svc,banks
283,St. Johns,FL,18255,survey-weighted,1,5,Ameris Bank,23591556,FDIC,High Satisfactory,Low Satisfactory,"Ameris Bank(FDIC,5br,inv=High Satisfactory,svc=Low Satisfactory)"
284,Elkhart,IN,18090,survey-weighted,2,12,Horizon Bank,7621571,FDIC,Low Satisfactory,High Satisfactory,"Horizon Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); LAKE CITY BANK(FED,11br,inv=Low Satisfactory,svc=-)"
285,Loudoun,VA,18085,survey-weighted,2,2,PRIMIS BANK,3831355,FED,Low Satisfactory,Low Satisfactory,"PRIMIS BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Burke & Herbert Bank & Trust Company(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
287,Yakima,WA,17990,survey-weighted,3,9,Heritage Bank,7233406,FDIC,High Satisfactory,Low Satisfactory,"Heritage Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory); Cashmere Valley Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); Yakima Federal Savings and Loan Association(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory)"
288,Harford,MD,17940,survey-weighted,1,1,ORRSTOWN BANK,2780990,FED,Low Satisfactory,Low Satisfactory,"ORRSTOWN BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
289,Lorain,OH,17821,survey-weighted,1,1,CIVISTA BANK,3006039,FED,-,Low Satisfactory,"CIVISTA BANK(FED,1br,inv=-,svc=Low Satisfactory)"
290,Pickens,SC,17791,survey-weighted,1,1,First Community Bank,1735147,FDIC,Low Satisfactory,Low Satisfactory,"First Community Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
291,Boone,MO,17592,survey-weighted,6,27,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); SIMMONS BANK(FED,6br,inv=-,svc=Low Satisfactory); CENTRAL TRUST BANK THE(FED,14br,inv=Low Satisfactory,svc=-); Great Southern Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); The Bank of Missouri(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); Hawthorn Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
294,Beaufort,SC,17409,survey-weighted,1,1,Ameris Bank,23591556,FDIC,High Satisfactory,Low Satisfactory,"Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
295,Atlantic,NJ,17241,survey-weighted,1,2,Parke Bank,2155246,FDIC,Low Satisfactory,Low Satisfactory,"Parke Bank(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
298,Garland,AR,17009,survey-weighted,3,15,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,5br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,7br,inv=Outstanding,svc=Low Satisfactory); SIMMONS BANK(FED,3br,inv=-,svc=Low Satisfactory)"
302,Hernando,FL,16295,survey-weighted,2,2,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory)"
303,Davis,UT,16228,survey-weighted,2,4,Cache Valley Bank,3281738,FDIC,High Satisfactory,Low Satisfactory,"Cache Valley Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory); D. L. Evans Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
304,Weber,UT,16208,survey-weighted,2,2,Cache Valley Bank,3281738,FDIC,High Satisfactory,Low Satisfactory,"Cache Valley Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); D. L. Evans Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
305,Cumberland,PA,16157,survey-weighted,5,17,UNIVEST BANK AND TRUST CO.,6892885,FED,-,Low Satisfactory,"UNIVEST BANK AND TRUST CO.(FED,1br,inv=-,svc=Low Satisfactory); Burke & Herbert Bank & Trust Company(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); ORRSTOWN BANK(FED,5br,inv=Low Satisfactory,svc=Low Satisfactory); ACNB Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Farmers and Merchants Trust Company of Chambersburg(FDIC,8br,inv=Low Satisfactory,svc=High Satisfactory)"
307,Houston,GA,16006,survey-weighted,2,5,Colony Bank,3091464,FDIC,Low Satisfactory,High Satisfactory,"Colony Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); Pinnacle Bank(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory)"
308,DeSoto,MS,15954,survey-weighted,4,12,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); BankPlus(FDIC,4br,inv=Outstanding,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); BANKFIRST FINANCIAL SERVICES(FED,2br,inv=Low Satisfactory,svc=-)"
309,Benton,WA,15861,survey-weighted,2,5,1st Security Bank of Washington,2632273,FDIC,Outstanding,Low Satisfactory,"1st Security Bank of Washington(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); Yakima Federal Savings and Loan Association(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory)"
310,Midland,TX,15813,survey-weighted,3,8,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,5br,inv=High Satisfactory,svc=Low Satisfactory); City Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); American Momentum Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
311,Coconino,AZ,15657,survey-weighted,2,2,Bank of Colorado,7572545,FDIC,Low Satisfactory,High Satisfactory,"Bank of Colorado(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Sunwest Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
312,Harnett,NC,15645,survey-weighted,2,2,The Fidelity Bank,4263695,FDIC,Low Satisfactory,Low Satisfactory,"The Fidelity Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST BANK AND TRUST COMPANY THE(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
314,Shelby,AL,15599,survey-weighted,1,6,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,6br,inv=-,svc=Low Satisfactory)"
315,Buncombe,NC,15591,survey-weighted,2,5,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); HOMETRUST BANK(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
316,Richmond,GA,15515,survey-weighted,4,7,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Pinnacle Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); First Community Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
317,Sebastian,AR,15457,survey-weighted,5,12,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,3br,inv=Outstanding,svc=Low Satisfactory); SIMMONS BANK(FED,3br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,2br,inv=-,svc=Low Satisfactory); Armstrong Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
320,Calhoun,AL,15410,survey-weighted,1,3,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory)"
322,Charlotte,FL,15283,survey-weighted,2,5,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,3br,inv=Outstanding,svc=Low Satisfactory); CENTENNIAL BANK(FED,2br,inv=-,svc=Low Satisfactory)"
323,Hillsborough,NH,15145,survey-weighted,2,5,BANK OF NEW HAMPSHIRE,2583718,FED,Low Satisfactory,-,"BANK OF NEW HAMPSHIRE(FED,4br,inv=Low Satisfactory,svc=-); NEEDHAM BANK(FED,1br,inv=-,svc=Low Satisfactory)"
324,Dutchess,NY,15117,survey-weighted,2,5,Tompkins Community Bank,7842153,FDIC,Low Satisfactory,High Satisfactory,"Tompkins Community Bank(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); BROOKLINE BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
326,Baldwin,AL,15067,survey-weighted,7,17,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,4br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,6br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); BankPlus(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); SMARTBANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Gulf Coast Bank and Trust Company(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
328,Grayson,TX,15044,survey-weighted,2,8,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,5br,inv=-,svc=Low Satisfactory); FIRST STATE BANK(FED,3br,inv=Needs to Improve,svc=-)"
329,Randolph,NC,15032,survey-weighted,2,4,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); The Fidelity Bank(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
330,Lowndes,GA,14977,survey-weighted,3,6,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,4br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
331,Clay,MO,14969,survey-weighted,4,17,CENTRAL TRUST BANK THE,19551204,FED,Low Satisfactory,-,"CENTRAL TRUST BANK THE(FED,9br,inv=Low Satisfactory,svc=-); NBH BANK(FED,3br,inv=-,svc=Low Satisfactory); Security Bank of Kansas City(FDIC,4br,inv=Low Satisfactory,svc=High Satisfactory); Hawthorn Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
332,New Hanover,NC,14834,survey-weighted,3,4,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Southern Bank and Trust Company(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); FIRST COMMUNITY BANK(FED,1br,inv=-,svc=Low Satisfactory)"
333,Coweta,GA,14807,survey-weighted,4,8,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,3br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); United Bank(FDIC,2br,inv=Low Satisfactory,svc=Outstanding)"
335,Shawnee,KS,14755,survey-weighted,1,2,EQUITY BANK,3862184,FED,Low Satisfactory,Low Satisfactory,"EQUITY BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
336,Okaloosa,FL,14752,survey-weighted,6,8,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); SMARTBANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Gulf Coast Bank and Trust Company(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
337,Henry,GA,14639,survey-weighted,2,9,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,7br,inv=High Satisfactory,svc=Low Satisfactory)"
339,Jackson,MS,14588,survey-weighted,2,3,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
340,Sussex,DE,14572,survey-weighted,2,6,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,5br,inv=Low Satisfactory,svc=High Satisfactory); FIRST CITIZENS COMMUNITY BANK(FED,1br,inv=Low Satisfactory,svc=-)"
341,Wayne,NC,14546,survey-weighted,1,5,Southern Bank and Trust Company,4758607,FDIC,High Satisfactory,Low Satisfactory,"Southern Bank and Trust Company(FDIC,5br,inv=High Satisfactory,svc=Low Satisfactory)"
342,Northampton,PA,14522,survey-weighted,4,8,UNIVEST BANK AND TRUST CO.,6892885,FED,-,Low Satisfactory,"UNIVEST BANK AND TRUST CO.(FED,1br,inv=-,svc=Low Satisfactory); Unity Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); Embassy Bank for the Lehigh Valley(FDIC,4br,inv=Low Satisfactory,svc=High Satisfactory); First Keystone Community Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
343,Cherokee,GA,14368,survey-weighted,3,9,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,4br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory)"
344,Cumberland,NJ,14362,survey-weighted,1,1,Parke Bank,2155246,FDIC,Low Satisfactory,Low Satisfactory,"Parke Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
345,St. Charles,MO,14240,survey-weighted,7,28,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); SIMMONS BANK(FED,3br,inv=-,svc=Low Satisfactory); CENTRAL TRUST BANK THE(FED,6br,inv=Low Satisfactory,svc=-); MIDLAND STATES BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST BANK(FED,6br,inv=-,svc=Low Satisfactory); Great Southern Bank(FDIC,7br,inv=High Satisfactory,svc=Low Satisfactory); MIDWEST BANKCENTRE(FED,1br,inv=Low Satisfactory,svc=-)"
346,Brown,WI,14169,survey-weighted,1,6,North Shore Bank,2569494,FDIC,Low Satisfactory,High Satisfactory,"North Shore Bank(FDIC,6br,inv=Low Satisfactory,svc=High Satisfactory)"
347,Canyon,ID,14060,survey-weighted,2,4,D. L. Evans Bank,3071088,FDIC,Low Satisfactory,High Satisfactory,"D. L. Evans Bank(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); Sunwest Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
348,Ellis,TX,13925,survey-weighted,2,6,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory); INTERBANK(FED,3br,inv=Low Satisfactory,svc=-)"
349,Winnebago,IL,13904,survey-weighted,1,9,MIDLAND STATES BANK,7782095,FED,Low Satisfactory,Low Satisfactory,"MIDLAND STATES BANK(FED,9br,inv=Low Satisfactory,svc=Low Satisfactory)"
350,Sullivan,TN,13837,survey-weighted,5,17,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); HOMETRUST BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST BANK AND TRUST COMPANY THE(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory); COMMERCIAL BANK(FED,3br,inv=Low Satisfactory,svc=Low Satisfactory); Bank of Tennessee(FDIC,7br,inv=Low Satisfactory,svc=Low Satisfactory)"
351,Berrien,MI,13824,survey-weighted,1,4,Horizon Bank,7621571,FDIC,Low Satisfactory,High Satisfactory,"Horizon Bank(FDIC,4br,inv=Low Satisfactory,svc=High Satisfactory)"
352,Madison,TN,13806,survey-weighted,2,8,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,5br,inv=-,svc=Low Satisfactory); SIMMONS BANK(FED,3br,inv=-,svc=Low Satisfactory)"
354,Bradley,TN,13779,survey-weighted,3,4,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); SMARTBANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
355,Jefferson,MO,13728,survey-weighted,3,6,MIDLAND STATES BANK,7782095,FED,Low Satisfactory,Low Satisfactory,"MIDLAND STATES BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST BANK(FED,1br,inv=-,svc=Low Satisfactory); MIDWEST BANKCENTRE(FED,4br,inv=Low Satisfactory,svc=-)"
356,Forsyth,GA,13723,survey-weighted,3,8,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,4br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,3br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
358,Sumner,TN,13684,survey-weighted,4,6,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); SIMMONS BANK(FED,2br,inv=-,svc=Low Satisfactory); Bank of Tennessee(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Citizens Bank of Lafayette(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
359,Broome,NY,13680,survey-weighted,1,2,CHEMUNG CANAL TRUST COMPANY,2649923,FED,Low Satisfactory,-,"CHEMUNG CANAL TRUST COMPANY(FED,2br,inv=Low Satisfactory,svc=-)"
360,Bonneville,ID,13666,survey-weighted,2,7,D. L. Evans Bank,3071088,FDIC,Low Satisfactory,High Satisfactory,"D. L. Evans Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); The Bank of Commerce(FDIC,5br,inv=Low Satisfactory,svc=High Satisfactory)"
361,St. Clair,IL,13639,survey-weighted,5,21,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,11br,inv=-,svc=Low Satisfactory); CENTRAL TRUST BANK THE(FED,2br,inv=Low Satisfactory,svc=-); MIDLAND STATES BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST BANK(FED,3br,inv=-,svc=Low Satisfactory); FCB Banks(FDIC,4br,inv=Low Satisfactory,svc=High Satisfactory)"
362,Comal,TX,13615,survey-weighted,5,12,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,6br,inv=High Satisfactory,svc=Low Satisfactory); CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory); Jefferson Bank(FDIC,1br,inv=Low Satisfactory,svc=Outstanding); TEXAS REGIONAL BANK(FED,1br,inv=Low Satisfactory,svc=-); Security State Bank & Trust(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory)"
363,Iredell,NC,13592,survey-weighted,3,4,Carter Bank & Trust,4446729,FDIC,Low Satisfactory,High Satisfactory,"Carter Bank & Trust(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); The Fidelity Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Peoples Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
364,Rapides Parish,LA,13551,survey-weighted,3,12,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); First Guaranty Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Red River Bank(FDIC,8br,inv=Low Satisfactory,svc=High Satisfactory)"
366,Tom Green,TX,13437,survey-weighted,1,2,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
367,Warren,KY,13377,survey-weighted,3,12,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,5br,inv=Low Satisfactory,svc=Low Satisfactory); INDEPENDENCE BANK OF KENTUCKY(FED,2br,inv=-,svc=Low Satisfactory); South Central Bank,  Inc.(FDIC,5br,inv=Low Satisfactory,svc=Low Satisfactory)"
368,McHenry,IL,13268,survey-weighted,1,1,North Shore Bank,2569494,FDIC,Low Satisfactory,High Satisfactory,"North Shore Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
370,Sevier,TN,13213,survey-weighted,2,7,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); SMARTBANK(FED,6br,inv=Low Satisfactory,svc=Low Satisfactory)"
371,Kaufman,TX,13148,survey-weighted,1,1,City Bank,4184122,FDIC,Low Satisfactory,Low Satisfactory,"City Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
372,Clermont,OH,13074,survey-weighted,1,1,Union Savings Bank,3391585,FDIC,High Satisfactory,Low Satisfactory,"Union Savings Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
373,Douglas,CO,13063,survey-weighted,2,2,Bank of Colorado,7572545,FDIC,Low Satisfactory,High Satisfactory,"Bank of Colorado(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); NBH BANK(FED,1br,inv=-,svc=Low Satisfactory)"
374,Craighead,AR,13009,survey-weighted,7,23,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); SIMMONS BANK(FED,3br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,7br,inv=-,svc=Low Satisfactory); ENCORE BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); First Community Bank(FDIC,7br,inv=High Satisfactory,svc=Low Satisfactory); FARMERS & MERCHANTS BANK THE(FED,2br,inv=Low Satisfactory,svc=-)"
375,Williamson,TN,12976,survey-weighted,6,16,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); SIMMONS BANK(FED,5br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory); SMARTBANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); COMMERCIAL BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST FARMERS AND MERCHANTS BANK(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
377,Alamance,NC,12809,survey-weighted,2,3,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); The Fidelity Bank(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
379,Matanuska-Susitna Borough,AK,12646,survey-weighted,1,2,Northrim Bank,2564795,FDIC,High Satisfactory,Low Satisfactory,"Northrim Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
382,Maui,HI,12593,survey-weighted,1,3,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory)"
384,Henderson,NC,12505,survey-weighted,2,2,The Fidelity Bank,4263695,FDIC,Low Satisfactory,Low Satisfactory,"The Fidelity Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); HOMETRUST BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
385,Rockingham,NH,12498,survey-weighted,2,5,NEEDHAM BANK,2345536,FED,-,Low Satisfactory,"NEEDHAM BANK(FED,4br,inv=-,svc=Low Satisfactory); North Shore Bank, a Co-operative Bank(FDIC,1br,inv=Substantial Non Complianc,svc=Substantial Non Complianc)"
386,Lee,MS,12451,survey-weighted,4,9,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); BankPlus(FDIC,4br,inv=Outstanding,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); BANKFIRST FINANCIAL SERVICES(FED,1br,inv=Low Satisfactory,svc=-)"
387,Wichita,TX,12421,survey-weighted,2,5,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory); First United Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
388,Taylor,TX,12419,survey-weighted,3,9,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,7br,inv=High Satisfactory,svc=Low Satisfactory); CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory); City Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
389,McLean,IL,12397,survey-weighted,1,2,Morton Community Bank,5467281,FDIC,High Satisfactory,Low Satisfactory,"Morton Community Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
390,Henderson,TX,12374,survey-weighted,2,9,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,6br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,3br,inv=-,svc=Low Satisfactory)"
391,Clay,FL,12341,survey-weighted,1,4,Ameris Bank,23591556,FDIC,High Satisfactory,Low Satisfactory,"Ameris Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory)"
392,Vanderburgh,IN,12320,survey-weighted,3,10,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); German American Bank(FDIC,6br,inv=Low Satisfactory,svc=Low Satisfactory); Banterra Bank(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
393,Sangamon,IL,12318,survey-weighted,2,8,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Morton Community Bank(FDIC,7br,inv=High Satisfactory,svc=Low Satisfactory)"
394,Newport News city,VA,12306,survey-weighted,2,2,Southern Bank and Trust Company,4758607,FDIC,High Satisfactory,Low Satisfactory,"Southern Bank and Trust Company(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); PRIMIS BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
395,Saline,AR,12302,survey-weighted,5,13,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,5br,inv=Outstanding,svc=Low Satisfactory); SIMMONS BANK(FED,3br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory); FARMERS BANK & TRUST COMPANY(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
