cert,name,city,state,overall,pub_date,assets_k,lending,investment,service,file_id,active,end_date
58581,Texas Partners Bank,SAN ANTONIO,TX,Satisfactory,07/01/2024,2200996,Low Satisfactory,Low Satisfactory,Low Satisfactory,2024/58581_240205.PDF,0,02/02/2026
12769,First United Bank,DIMMITT,TX,Satisfactory,09/01/2024,2195446,High Satisfactory,High Satisfactory,Low Satisfactory,2024/12769_240408.PDF,1,
30903,Community Bank of the Chesapeake,WALDORF,MD,Satisfactory,02/01/2022,2192933,,Low Satisfactory,High Satisfactory,2021/30903_210729.PDF,0,07/01/2023
2711,"Traditional Bank, Inc.",MOUNT STERLING,KY,Satisfactory,11/01/2023,2190086,High Satisfactory,Low Satisfactory,High Satisfactory,2023/2711_230717.PDF,1,
34888,Parke Bank,SEWELL,NJ,Needs to Improve,03/01/2024,2155246,High Satisfactory,Low Satisfactory,Low Satisfactory,2021/34888_211130.PDF,1,
14065,Pinnacle Bank,ELBERTON,GA,Satisfactory,10/01/2025,2130759,High Satisfactory,Low Satisfactory,High Satisfactory,2025/14065_250127.PDF,1,
172,United Bank,ZEBULON,GA,Satisfactory,04/01/2025,2120294,High Satisfactory,Low Satisfactory,Outstanding,2024/172_240909.PDF,1,
18059,The Bank of Commerce,AMMON,ID,Satisfactory,06/01/2025,2111141,High Satisfactory,Low Satisfactory,High Satisfactory,2024/18059_241104.PDF,1,
18198,Ion Bank,NAUGATUCK,CT,Satisfactory,08/01/2024,2083933,High Satisfactory,Low Satisfactory,High Satisfactory,2023/18198_230530.PDF,1,
58374,The Piedmont Bank,PEACHTREE CORNERS,GA,Satisfactory,11/01/2024,2079824,Low Satisfactory,Low Satisfactory,Low Satisfactory,2024/58374_240610.PDF,0,01/11/2025
23992,Country Bank for Savings,WARE,MA,Satisfactory,02/01/2026,2073726,Low Satisfactory,High Satisfactory,Low Satisfactory,2025/23992_250714.PDF,1,
9123,Western State Bank,DEVILS LAKE,ND,Satisfactory,05/01/2024,2072686,High Satisfactory,Low Satisfactory,High Satisfactory,2023/9123_231127.PDF,1,
29523,Peoples Bank,MUNSTER,IN,Satisfactory,12/01/2024,2072545,High Satisfactory,Low Satisfactory,High Satisfactory,2024/29523_240729.PDF,1,
27744,MutualBank,MUNCIE,IN,Satisfactory,05/01/2020,2068557,Low Satisfactory,Low Satisfactory,High Satisfactory,2019/27744_190715.PDF,0,04/24/2020
253,Luana Savings Bank,LUANA,IA,Satisfactory,10/01/2023,2063244,Low Satisfactory,Low Satisfactory,Low Satisfactory,2023/253_230522.PDF,1,
17470,First Bank Chicago,HIGHLAND PARK,IL,Satisfactory,04/01/2026,2024099,Low Satisfactory,Low Satisfactory,Outstanding,2025/17470_251027.PDF,1,
30052,Blue Foundry Bank,RUTHERFORD,NJ,Satisfactory,01/01/2025,2022886,High Satisfactory,Low Satisfactory,High Satisfactory,2024/30052_240604.PDF,1,
9204,Central Bank,PROVO,UT,Satisfactory,11/01/2023,2014180,High Satisfactory,Low Satisfactory,High Satisfactory,2023/9204_230710.PDF,1,
1265,Cashmere Valley Bank,CASHMERE,WA,Satisfactory,05/01/2024,2008732,Low Satisfactory,Low Satisfactory,High Satisfactory,2023/1265_231016.PDF,1,
15809,Security State Bank & Trust,FREDERICKSBURG,TX,Satisfactory,05/01/2026,1984577,High Satisfactory,Low Satisfactory,High Satisfactory,2025/15809_251117.PDF,1,
