cert,name,state,assets_k,api_investment,api_service,pub_date,file_id
803,"WesBanco Bank, Inc.",WV,16752817,(missing),Outstanding,07/01/2023,2022/803_221114.PDF
32489,HomeStreet Bank,WA,9335429,Outstanding,(missing),03/01/2023,2022/32489_220822.PDF
58458,HTLF Bank,CO,9178296,(missing),(missing),03/01/2023,2022/58458_221017.PDF
17308,Central Pacific Bank,HI,7286591,Outstanding,(missing),05/01/2023,2022/17308_221025.PDF
9889,Mid Penn Bank,PA,4665007,(missing),(missing),06/01/2023,2022/9889_220630.PDF
33440,Citizens First Bank,FL,4013943,Substantial Non Complianc,(missing),10/01/2022,2022/33440_220429.PDF
57997,Bryant Bank,AL,2517179,(missing),(missing),06/01/2023,2022/57997_221122.PDF
11868,The Fidelity Deposit and Discount Bank,PA,2420862,(missing),(missing),07/01/2023,2023/11868_230109.PDF
