FIPS,State,County,GROCPTH16,GROCPTH20,PCH_GROCPTH_16_20,SUPERCPTH16,SUPERCPTH20,PCH_SUPERCPTH_16_20,CONVSPTH16,CONVSPTH20,PCH_CONVSPTH_16_20,SNAPSPTH17,SNAPSPTH23,PCH_SNAPSPTH_17_23,LACCESS_POP15,LACCESS_POP19,PCH_LACCESS_POP_15_19,PCT_LACCESS_POP15,PCT_LACCESS_POP19,PCT_SNAP17,PCT_SNAP22
6001,CA,Alameda,0.2253500670194626,0.2195722460746765,-2.56393131859467,0.003634678432717919,0.01624233089387417,346.8711935467857,0.1999073177576065,0.1973142474889755,-1.297136241793384,0.5056547959042559,0.5457311272621155,7.925630569458008,115055.1784408877,122085.3992190132,6.11030387878418,7.618181228637695,8.083675384521484,10.40064266441573,11.66618694212165
6003,CA,Alpine,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,575.162591718658,669.388616788606,16.38250160217285,48.95000839233398,56.96924209594727,10.40064266441573,11.66618694212165
6005,CA,Amador,0.3471944034099579,0.2993787825107574,-13.77200220671214,-9999.0,-9999.0,-9999.0,0.3204871416091919,0.3243270218372345,1.198138623834399,0.7788363623811252,0.7639796137809753,-1.907557129859924,5.3553277364117,66.3495595788336,1138.944946289063,0.01405929960310459,0.1741869747638702,10.40064266441573,11.66618694212165
6007,CA,Butte,0.1989196389913559,0.1880194097757339,-5.479714959715776,0.004420436453074217,0.01880194060504436,325.3412712667423,0.3271123170852661,0.3290339708328247,0.5874599173401718,0.8148199836599883,0.9269446134567261,13.76066303253174,42034.36530223508,42049.55409670883,0.03613423183560371,19.10652923583984,19.11343383789063,10.40064266441573,11.66618694212165
6009,CA,Calaveras,0.242788091301918,0.2591345012187958,6.732789005104145,-9999.0,-9999.0,-9999.0,0.5076478123664856,0.4102962911128998,-19.17698035568505,0.9360630610904314,0.9852432608604431,5.253941059112549,7456.005538667015,6716.427556405724,-9.919225692749023,16.3587818145752,14.73611736297607,10.40064266441573,11.66618694212165
6011,CA,Colusa,0.4656360447406769,0.3247054517269135,-30.266255073155,-9999.0,-9999.0,-9999.0,0.5121996402740479,0.5566378831863403,8.675961367039653,1.039516930367653,1.283755898475647,23.49542999267578,3262.053241787681,8424.038309762245,158.2434387207031,15.22971820831299,39.32974624633789,10.40064266441573,11.66618694212165
6013,CA,Contra Costa,0.1758614331483841,0.1943882554769516,10.53489784365365,0.00439653592184186,0.01388487499207258,215.81397807062,0.1960854977369308,0.2004628926515579,2.232390954531382,0.4442501954352258,0.5427265763282776,22.16687393188477,251688.5919924346,243670.8027577511,-3.185599088668823,23.99262046813965,23.22831153869629,10.40064266441573,11.66618694212165
6015,CA,Del Norte,0.2188582867383957,0.1430206000804901,-34.6515033943199,0.03647638112306595,-9999.0,-9999.0,0.1459055244922638,0.178775742650032,22.52842602920844,0.9798568134935082,0.9831767678260803,0.3388203680515289,9843.898113342246,9843.898113342273,2.771751740886924e-13,34.40719223022461,34.40719223022461,10.40064266441573,11.66618694212165
6017,CA,El Dorado,0.1720180362462997,0.1710509210824966,-0.5622173028521082,-9999.0,0.02073344588279724,-9999.0,0.3117826879024506,0.2850848734378815,-8.562956026898515,0.5732316684921891,0.636367917060852,11.01408958435059,46775.62230731263,45668.06265249781,-2.3678138256073,25.8346061706543,25.22289085388184,10.40064266441573,11.66618694212165
6019,CA,Fresno,0.2632573544979095,0.252767950296402,-3.984467678600356,0.01024347729980946,0.01998165622353554,95.06712065352288,0.3124260604381561,0.2987257838249207,-4.385126065995193,0.8978979130760013,0.9164121150970459,2.061949491500854,125491.7561898222,124001.7131579578,-1.187363266944885,13.48721122741699,13.32706928253174,10.40064266441573,11.66618694212165
