rank,county,state,unenrolled_persons,non_enroll_rate,method
2458,Clarke,IA,919,0.6535,survey-weighted
2459,Decatur,IA,919,0.6535,survey-weighted
2460,Fremont,IA,919,0.6535,survey-weighted
2461,Monroe,IA,919,0.6535,survey-weighted
2462,Taylor,IA,919,0.6535,survey-weighted
2463,Wayne,IA,919,0.6535,survey-weighted
2464,Ontonagon,MI,916,0.5220,survey-weighted
2465,Chowan,NC,916,0.5709,survey-weighted
2466,Perquimans,NC,916,0.5709,survey-weighted
2467,Crawford,IN,915,0.5914,survey-weighted
2468,Grant,WV,912,0.4735,survey-weighted
2469,Pendleton,WV,912,0.4735,survey-weighted
2470,Tucker,WV,912,0.4735,survey-weighted
2471,Bates,MO,911,0.5819,survey-weighted
2472,Carroll,MS,910,0.4247,survey-weighted
2473,Castro,TX,910,0.6396,survey-weighted
2474,Ochiltree,TX,910,0.6396,survey-weighted
2475,Swisher,TX,910,0.6396,survey-weighted
2476,Ritchie,WV,909,0.4757,survey-weighted
2477,Tyler,WV,909,0.4757,survey-weighted
2478,East Feliciana Parish,LA,908,0.5680,survey-weighted
2479,Cleveland,AR,907,0.6767,survey-weighted
2480,Deuel,SD,904,0.7173,survey-weighted
2481,Edmunds,SD,904,0.7173,survey-weighted
2482,Grant,SD,904,0.7173,survey-weighted
2483,Hamlin,SD,904,0.7173,survey-weighted
2484,Walworth,SD,904,0.7173,survey-weighted
2485,Marshall,MN,902,0.4916,survey-weighted
2486,Bleckley,GA,902,0.3723,survey-weighted
2487,Johnson,GA,902,0.3723,survey-weighted
2488,Wilcox,GA,902,0.3723,survey-weighted
2489,Goliad,TX,902,0.5431,survey-weighted
2490,Chugach Census Area,AK,902,0.8010,survey-weighted
2491,Southeast Fairbanks Census Area,AK,902,0.8010,survey-weighted
2492,Trousdale,TN,899,0.5098,survey-weighted
2493,Lafayette,FL,899,0.5327,survey-weighted
2494,Hardin,IA,898,0.4711,survey-weighted
2495,Grant,OR,894,0.5141,survey-weighted
2496,Morrow,OR,894,0.5141,survey-weighted
2497,Crook,WY,894,0.7975,survey-weighted
2498,Weston,WY,894,0.7975,survey-weighted
2499,Monroe,OH,893,0.4174,survey-weighted
2500,Noble,OH,893,0.4174,survey-weighted
2501,Shelby,IL,892,0.3996,survey-weighted
2502,Los Alamos,NM,891,0.3486,survey-weighted
2503,Dukes,MA,890,0.6636,survey-weighted
2504,Long,GA,881,0.2904,survey-weighted
2505,Chickasaw,IA,881,0.6594,survey-weighted
2506,Marshall,IL,880,0.4260,survey-weighted
2507,Sullivan,PA,878,0.5222,survey-weighted
2508,Coal,OK,877,0.5825,survey-weighted
2509,Clay,IA,876,0.5442,survey-weighted
2510,Chippewa,MN,872,0.6602,survey-weighted
2511,Union,IL,869,0.3944,survey-weighted
2512,White,IL,869,0.3944,survey-weighted
2513,Rice,KS,867,0.6859,survey-weighted
2514,Calhoun,AR,866,0.7422,survey-weighted
2515,Swain,NC,863,0.5635,survey-weighted
2516,Vinton,OH,860,0.3334,survey-weighted
2517,Glacier,MT,859,0.6423,survey-weighted
2518,Calhoun,IA,858,0.5965,survey-weighted
2519,Greene,IA,858,0.5965,survey-weighted
2520,Monona,IA,858,0.5965,survey-weighted
2521,Sac,IA,858,0.5965,survey-weighted
2522,Hancock,TN,857,0.5392,survey-weighted
2523,Montgomery,MO,855,0.6070,survey-weighted
2524,Big Horn,WY,854,0.7817,survey-weighted
2525,Jefferson,KS,853,0.7092,survey-weighted
2526,Clark,IL,850,0.4628,survey-weighted
2527,Rosebud,MT,849,0.5610,survey-weighted
2528,Terrell,GA,849,0.3723,survey-weighted
2529,Braxton,WV,846,0.4072,survey-weighted
2530,Clay,WV,846,0.4072,survey-weighted
2531,Gilmer,WV,846,0.4072,survey-weighted
2532,Lee,KY,845,0.3262,survey-weighted
2533,Shelby,IA,843,0.5523,survey-weighted
2534,Iron,WI,843,0.5814,survey-weighted
2535,Seward,NE,842,0.6305,survey-weighted
2536,York,NE,842,0.6305,survey-weighted
2537,Osage,MO,839,0.6484,survey-weighted
2538,Cumberland,KY,837,0.5884,survey-weighted
2539,Monroe,WV,836,0.3877,survey-weighted
2540,Wheeler,GA,835,0.4939,survey-weighted
2541,Koochiching,MN,835,0.4584,survey-weighted
2542,Runnels,TX,834,0.4798,survey-weighted
2543,Scurry,TX,834,0.4798,survey-weighted
2544,Missaukee,MI,830,0.5221,survey-weighted
2545,Martin,IN,828,0.6147,survey-weighted
2546,Red River Parish,LA,823,0.4967,survey-weighted
2547,Lawrence,IL,820,0.3644,survey-weighted
2548,Richland,IL,820,0.3644,survey-weighted
2549,Wayne,IL,820,0.3644,survey-weighted
2550,Grand,CO,818,1.0000,survey-weighted
2551,Pitkin,CO,818,1.0000,survey-weighted
2552,Waseca,MN,818,0.2865,survey-weighted
2553,Carroll,KY,818,0.5406,survey-weighted
2554,Gallatin,KY,818,0.5406,survey-weighted
2555,Harrison,MO,815,0.7226,survey-weighted
2556,Holt,MO,815,0.7226,survey-weighted
2557,Sullivan,MO,815,0.7226,survey-weighted
2558,San Miguel,CO,815,0.5425,survey-weighted
2559,Alger,MI,814,0.4961,survey-weighted
2560,Luce,MI,814,0.4961,survey-weighted
2561,Schoolcraft,MI,814,0.4961,survey-weighted
2562,Mercer,IL,811,0.4815,survey-weighted
2563,DeKalb,MO,811,0.4780,survey-weighted
2564,Heard,GA,808,0.3312,survey-weighted
2565,Owyhee,ID,807,0.5531,survey-weighted
2566,Mitchell,IA,806,0.7537,survey-weighted
2567,Winnebago,IA,806,0.7537,survey-weighted
2568,Worth,IA,806,0.7537,survey-weighted
2569,Benewah,ID,804,0.7570,survey-weighted
2570,Boundary,ID,804,0.7570,survey-weighted
2571,Coffey,KS,798,0.6432,survey-weighted
2572,Greenwood,KS,798,0.6432,survey-weighted
2573,Calhoun,SC,790,0.3553,survey-weighted
2574,Catahoula Parish,LA,789,0.3070,survey-weighted
2575,LaSalle Parish,LA,789,0.3070,survey-weighted
2576,Kemper,MS,788,0.5533,survey-weighted
2577,Broadwater,MT,783,0.7527,survey-weighted
2578,Chouteau,MT,783,0.7527,survey-weighted
2579,Pondera,MT,783,0.7527,survey-weighted
2580,Archer,TX,782,0.5065,survey-weighted
2581,Clay,TX,782,0.5065,survey-weighted
2582,Jack,TX,782,0.5065,survey-weighted
2583,Alfalfa,OK,777,0.6150,survey-weighted
2584,Beaver,OK,777,0.6150,survey-weighted
2585,Dewey,OK,777,0.6150,survey-weighted
2586,Major,OK,777,0.6150,survey-weighted
2587,Lake,MN,776,0.6673,survey-weighted
2588,Charles City,VA,775,0.7686,survey-weighted
2589,Delaware,IA,775,0.5865,survey-weighted
2590,Cottonwood,MN,771,0.4536,survey-weighted
2591,Jackson,MN,771,0.4536,survey-weighted
2592,Bollinger,MO,771,0.4179,survey-weighted
2593,Greer,OK,770,0.4922,survey-weighted
2594,Millard,UT,767,0.5334,survey-weighted
2595,Harney,OR,766,0.3774,survey-weighted
2596,Wadena,MN,765,0.6830,survey-weighted
2597,Keith,NE,760,0.6666,survey-weighted
2598,Red Willow,NE,760,0.6666,survey-weighted
2599,Clark,MO,755,0.7730,survey-weighted
2600,Monroe,MO,755,0.7730,survey-weighted
2601,Ralls,MO,755,0.7730,survey-weighted
2602,Shelby,MO,755,0.7730,survey-weighted
2603,Holt,NE,753,0.5277,survey-weighted
2604,Butler,IA,749,0.4711,survey-weighted
2605,Hamilton,IA,749,0.4711,survey-weighted
2606,Wright,IA,749,0.4711,survey-weighted
2607,Wallowa,OR,747,0.4134,survey-weighted
2608,Williamsburg city,VA,744,0.6344,survey-weighted
2609,Beaverhead,MT,744,0.6184,survey-weighted
2610,Deer Lodge,MT,744,0.6184,survey-weighted
2611,De Witt,IL,743,0.3996,survey-weighted
2612,Custer,NE,740,0.8145,survey-weighted
2613,Benson,ND,738,0.7257,survey-weighted
2614,Dickey,ND,738,0.7257,survey-weighted
2615,Ransom,ND,738,0.7257,survey-weighted
2616,Boone,NE,735,0.7475,survey-weighted
2617,Cedar,NE,735,0.7475,survey-weighted
2618,Dixon,NE,735,0.7475,survey-weighted
2619,Pierce,NE,735,0.7475,survey-weighted
2620,Stanton,NE,735,0.7475,survey-weighted
2621,Thurston,NE,735,0.7475,survey-weighted
2622,Wayne,NE,735,0.7475,survey-weighted
2623,Clinch,GA,733,0.4546,survey-weighted
2624,Echols,GA,733,0.4546,survey-weighted
2625,Ferry,WA,732,0.5561,survey-weighted
2626,White Pine,NV,727,0.4821,survey-weighted
2627,Presidio,TX,719,0.6655,survey-weighted
2628,Baca,CO,718,0.4678,survey-weighted
2629,Bent,CO,718,0.4678,survey-weighted
2630,Conejos,CO,718,0.4678,survey-weighted
2631,Costilla,CO,718,0.4678,survey-weighted
2632,Saguache,CO,718,0.4678,survey-weighted
2633,Butte,SD,714,0.4803,survey-weighted
2634,Marion,GA,709,0.4340,survey-weighted
2635,Randolph,GA,709,0.4340,survey-weighted
2636,Schley,GA,709,0.4340,survey-weighted
2637,Stewart,GA,709,0.4340,survey-weighted
2638,Webster,GA,709,0.4340,survey-weighted
2639,Menifee,KY,705,0.4246,survey-weighted
2640,Forest,PA,704,0.5685,survey-weighted
2641,Bland,VA,701,0.4617,survey-weighted
2642,Galax city,VA,701,0.4617,survey-weighted
2643,Emmet,IA,700,0.5442,survey-weighted
2644,O'Brien,IA,700,0.5442,survey-weighted
2645,Palo Alto,IA,700,0.5442,survey-weighted
2646,Bennett,SD,700,0.5052,survey-weighted
2647,Corson,SD,700,0.5052,survey-weighted
2648,Dewey,SD,700,0.5052,survey-weighted
2649,Fall River,SD,700,0.5052,survey-weighted
2650,Gregory,SD,700,0.5052,survey-weighted
2651,Jackson,SD,700,0.5052,survey-weighted
2652,Lyman,SD,700,0.5052,survey-weighted
2653,Todd,SD,700,0.5052,survey-weighted
2654,Tripp,SD,700,0.5052,survey-weighted
2655,Hot Springs,WY,699,0.7064,survey-weighted
2656,Pope,MN,698,0.6602,survey-weighted
2657,Swift,MN,698,0.6602,survey-weighted
2658,Yellow Medicine,MN,698,0.6602,survey-weighted
2659,Alexander,IL,695,0.3944,survey-weighted
2660,Johnson,IL,695,0.3944,survey-weighted
2661,Massac,IL,695,0.3944,survey-weighted
2662,Wabash,IL,695,0.3944,survey-weighted
2663,Rooks,KS,687,0.8134,survey-weighted
2664,Russell,KS,687,0.8134,survey-weighted
2665,Sherman,KS,687,0.8134,survey-weighted
2666,Smith,KS,687,0.8134,survey-weighted
2667,Thomas,KS,687,0.8134,survey-weighted
2668,Coke,TX,687,0.6893,survey-weighted
2669,Kimble,TX,687,0.6893,survey-weighted
2670,Martin,TX,687,0.6893,survey-weighted
2671,Mason,TX,687,0.6893,survey-weighted
2672,Upton,TX,687,0.6893,survey-weighted
2673,Baraga,MI,687,0.5220,survey-weighted
2674,Keweenaw,MI,687,0.5220,survey-weighted
2675,Gates,NC,687,0.5709,survey-weighted
2676,Adams,ID,680,0.7782,survey-weighted
2677,Clearwater,MN,677,0.4916,survey-weighted
2678,Lake of the Woods,MN,677,0.4916,survey-weighted
2679,Norman,MN,677,0.4916,survey-weighted
2680,Carter,MO,677,0.5548,survey-weighted
2681,Reynolds,MO,677,0.5548,survey-weighted
2682,Shannon,MO,677,0.5548,survey-weighted
2683,Candler,GA,677,0.3723,survey-weighted
2684,Kanabec,MN,675,0.5428,survey-weighted
2685,Issaquena,MS,673,0.6080,survey-weighted
2686,Clay,NE,667,0.8055,survey-weighted
2687,Franklin,NE,667,0.8055,survey-weighted
2688,Kearney,NE,667,0.8055,survey-weighted
2689,Nuckolls,NE,667,0.8055,survey-weighted
2690,Webster,NE,667,0.8055,survey-weighted
2691,Bailey,TX,666,0.6399,survey-weighted
2692,Floyd,TX,666,0.6399,survey-weighted
2693,Yoakum,TX,666,0.6399,survey-weighted
2694,Dade,MO,665,0.4494,survey-weighted
2695,Fulton,KY,664,0.5334,survey-weighted
2696,Pepin,WI,662,0.6924,survey-weighted
2697,Anderson,KS,661,0.5831,survey-weighted
2698,Aleutians West Census Area,AK,661,0.4080,survey-weighted
2699,Dillingham Census Area,AK,661,0.4080,survey-weighted
2700,Nome Census Area,AK,661,0.4080,survey-weighted
2701,Northwest Arctic Borough,AK,661,0.4080,survey-weighted
2702,Sitka City and Borough,AK,661,0.4080,survey-weighted
2703,Howard,IA,660,0.6594,survey-weighted
2704,Brooks,TX,660,0.4626,survey-weighted
2705,Kenedy,TX,660,0.4626,survey-weighted
2706,Clay,KS,657,0.6513,survey-weighted
2707,Ellsworth,KS,657,0.6513,survey-weighted
2708,Mitchell,KS,657,0.6513,survey-weighted
2709,Ottawa,KS,657,0.6513,survey-weighted
2710,Washington,KS,657,0.6513,survey-weighted
2711,Clay,IL,656,0.3644,survey-weighted
2712,Mills,TX,655,0.5615,survey-weighted
2713,San Saba,TX,655,0.5615,survey-weighted
2714,Bon Homme,SD,652,0.6127,survey-weighted
2715,Brule,SD,652,0.6127,survey-weighted
2716,Hand,SD,652,0.6127,survey-weighted
2717,Kingsbury,SD,652,0.6127,survey-weighted
2718,Moody,SD,652,0.6127,survey-weighted
2719,Schuyler,IL,649,0.5037,survey-weighted
2720,Bowman,ND,644,0.6385,survey-weighted
2721,Hettinger,ND,644,0.6385,survey-weighted
2722,Sioux,ND,644,0.6385,survey-weighted
2723,Ida,IA,644,0.5965,survey-weighted
2724,Pocahontas,IA,644,0.5965,survey-weighted
2725,Wilkin,MN,643,0.4963,survey-weighted
2726,Essex,VA,641,0.6152,survey-weighted
2727,Benton,IN,641,0.5337,survey-weighted
2728,Bath,VA,640,0.7200,survey-weighted
2729,Buena Vista city,VA,640,0.7200,survey-weighted
2730,Lexington city,VA,640,0.7200,survey-weighted
2731,Brown,KS,640,0.7092,survey-weighted
2732,Doniphan,KS,640,0.7092,survey-weighted
2733,Jackson,KS,640,0.7092,survey-weighted
2734,Ohio,IN,638,0.6744,survey-weighted
2735,Cumberland,IL,638,0.4628,survey-weighted
2736,Dawson,MT,637,0.5610,survey-weighted
2737,Roosevelt,MT,637,0.5610,survey-weighted
2738,Valley,MT,637,0.5610,survey-weighted
2739,Miller,GA,636,0.3723,survey-weighted
2740,Seminole,GA,636,0.3723,survey-weighted
2741,Adair,IA,632,0.5523,survey-weighted
2742,Audubon,IA,632,0.5523,survey-weighted
2743,Guthrie,IA,632,0.5523,survey-weighted
2744,Butler,NE,631,0.6305,survey-weighted
2745,Jefferson,NE,631,0.6305,survey-weighted
2746,Richardson,NE,631,0.6305,survey-weighted
2747,Maries,MO,630,0.6484,survey-weighted
2748,Pembina,ND,629,0.7501,survey-weighted
2749,Traill,ND,629,0.7501,survey-weighted
2750,Callahan,TX,625,0.4798,survey-weighted
2751,Coleman,TX,625,0.4798,survey-weighted
2752,Stephens,TX,625,0.4798,survey-weighted
2753,Trimble,KY,625,0.5648,survey-weighted
2754,Davis,IA,623,0.5907,survey-weighted
2755,Van Buren,IA,623,0.5907,survey-weighted
2756,Cook,MN,621,0.6673,survey-weighted
2757,Adams,IA,613,0.6535,survey-weighted
2758,Ringgold,IA,613,0.6535,survey-weighted
2759,Forest,WI,611,0.5011,survey-weighted
2760,Carroll,MO,611,0.4425,survey-weighted
2761,Chariton,MO,611,0.4425,survey-weighted
2762,Howard,MO,611,0.4425,survey-weighted
2763,Henderson,IL,608,0.4815,survey-weighted
2764,Carson,TX,607,0.6396,survey-weighted
2765,Childress,TX,607,0.6396,survey-weighted
2766,Dallam,TX,607,0.6396,survey-weighted
2767,Donley,TX,607,0.6396,survey-weighted
2768,Hansford,TX,607,0.6396,survey-weighted
2769,Lipscomb,TX,607,0.6396,survey-weighted
2770,Parmer,TX,607,0.6396,survey-weighted
2771,Wheeler,TX,607,0.6396,survey-weighted
2772,Doddridge,WV,606,0.4757,survey-weighted
2773,Pleasants,WV,606,0.4757,survey-weighted
2774,Wirt,WV,606,0.4757,survey-weighted
2775,Rappahannock,VA,600,0.7672,survey-weighted
2776,Grundy,IA,599,0.4711,survey-weighted
2777,Humboldt,IA,599,0.4711,survey-weighted
2778,Fulton,PA,599,0.4560,survey-weighted
2779,Moultrie,IL,594,0.3996,survey-weighted
2780,Piatt,IL,594,0.3996,survey-weighted
2781,Mineral,MT,593,0.7062,survey-weighted
2782,Bottineau,ND,592,0.6583,survey-weighted
2783,McLean,ND,592,0.6583,survey-weighted
2784,Mercer,ND,592,0.6583,survey-weighted
2785,Mountrail,ND,592,0.6583,survey-weighted
2786,Calvert,MD,591,0.1391,survey-weighted
2787,Grant,OK,585,0.5054,survey-weighted
2788,Murray,MN,579,0.4536,survey-weighted
2789,Rock,MN,579,0.4536,survey-weighted
2790,Greensville,VA,574,0.3895,survey-weighted
2791,Florence,WI,567,0.5117,survey-weighted
2792,Menominee,WI,567,0.5117,survey-weighted
2793,Rio Blanco,CO,565,0.7621,survey-weighted
2794,Box Butte,NE,564,0.5277,survey-weighted
2795,Cheyenne,NE,564,0.5277,survey-weighted
2796,Calhoun,WV,564,0.4072,survey-weighted
2797,Owsley,KY,563,0.3262,survey-weighted
2798,Wolfe,KY,563,0.3262,survey-weighted
2799,Catron,NM,560,0.4552,survey-weighted
2800,Hidalgo,NM,560,0.4552,survey-weighted
2801,Moore,TN,556,0.5825,survey-weighted
2802,Hamilton,NE,555,0.8145,survey-weighted
2803,Merrick,NE,555,0.8145,survey-weighted
2804,Atchison,MO,543,0.7226,survey-weighted
2805,Daviess,MO,543,0.7226,survey-weighted
2806,Gentry,MO,543,0.7226,survey-weighted
2807,Mercer,MO,543,0.7226,survey-weighted
2808,Putnam,MO,543,0.7226,survey-weighted
2809,Schuyler,MO,543,0.7226,survey-weighted
2810,Morris,KS,532,0.6432,survey-weighted
2811,Woodson,KS,532,0.6432,survey-weighted
2812,Cotton,OK,531,0.3956,survey-weighted
2813,Lyon,IA,525,0.5442,survey-weighted
2814,Bear Lake,ID,525,0.4814,survey-weighted
2815,Caribou,ID,525,0.4814,survey-weighted
2816,Franklin,ID,525,0.4814,survey-weighted
2817,Power,ID,525,0.4814,survey-weighted
2818,Kalawao,HI,525,0.5429,survey-weighted
2819,Big Stone,MN,523,0.6602,survey-weighted
2820,Lac qui Parle,MN,523,0.6602,survey-weighted
2821,Stevens,MN,523,0.6602,survey-weighted
2822,Union,IN,523,0.4296,survey-weighted
2823,Edwards,IL,522,0.3944,survey-weighted
2824,Hamilton,IL,522,0.3944,survey-weighted
2825,Baylor,TX,521,0.5065,survey-weighted
2826,Nicholas,KY,520,0.5042,survey-weighted
2827,Cimarron,OK,518,0.6150,survey-weighted
2828,Ellis,OK,518,0.6150,survey-weighted
2829,Harper,OK,518,0.6150,survey-weighted
2830,Graham,NC,518,0.5635,survey-weighted
2831,Beaver,UT,512,0.5334,survey-weighted
2832,Garfield,UT,512,0.5334,survey-weighted
2833,Juab,UT,512,0.5334,survey-weighted
2834,Kane,UT,512,0.5334,survey-weighted
2835,Lake,OR,511,0.3774,survey-weighted
2836,Clark,KS,508,0.8163,survey-weighted
2837,Hamilton,KS,508,0.8163,survey-weighted
2838,Haskell,KS,508,0.8163,survey-weighted
2839,Hodgeman,KS,508,0.8163,survey-weighted
2840,Kearny,KS,508,0.8163,survey-weighted
2841,Morton,KS,508,0.8163,survey-weighted
2842,Stanton,KS,508,0.8163,survey-weighted
2843,Hancock,GA,507,0.3870,survey-weighted
2844,Jenkins,GA,507,0.3870,survey-weighted
2845,Lincoln,GA,507,0.3870,survey-weighted
2846,Warren,GA,507,0.3870,survey-weighted
2847,Huerfano,CO,505,0.4474,survey-weighted
2848,Lake,CO,505,0.4474,survey-weighted
2849,Watonwan,MN,505,0.5885,survey-weighted
2850,Knox,MO,503,0.7730,survey-weighted
2851,Scotland,MO,503,0.7730,survey-weighted
2852,Granite,MT,496,0.6184,survey-weighted
2853,Powell,MT,496,0.6184,survey-weighted
2854,Covington city,VA,495,0.5656,survey-weighted
2855,LaMoure,ND,492,0.7257,survey-weighted
2856,Pierce,ND,492,0.7257,survey-weighted
2857,Sargent,ND,492,0.7257,survey-weighted
2858,Wells,ND,492,0.7257,survey-weighted
2859,Jasper,IL,492,0.3644,survey-weighted
2860,McMullen,TX,490,0.4012,survey-weighted
2861,Comanche,KS,489,0.7013,survey-weighted
2862,Kiowa,KS,489,0.7013,survey-weighted
2863,Rush,KS,489,0.7013,survey-weighted
2864,Lander,NV,484,0.4821,survey-weighted
2865,Lincoln,NV,484,0.4821,survey-weighted
2866,Mineral,NV,484,0.4821,survey-weighted
2867,Essex,VT,477,0.3959,survey-weighted
2868,Custer,SD,476,0.4803,survey-weighted
2869,Ramsey,ND,472,0.7501,survey-weighted
2870,Camas,ID,468,0.7084,survey-weighted
2871,Lincoln,ID,468,0.7084,survey-weighted
2872,Camden,NC,458,0.5709,survey-weighted
2873,Campbell,SD,452,0.7173,survey-weighted
2874,Clark,SD,452,0.7173,survey-weighted
2875,Faulk,SD,452,0.7173,survey-weighted
2876,McPherson,SD,452,0.7173,survey-weighted
2877,Marshall,SD,452,0.7173,survey-weighted
2878,Potter,SD,452,0.7173,survey-weighted
2879,Kittson,MN,451,0.4916,survey-weighted
2880,Mahnomen,MN,451,0.4916,survey-weighted
2881,Red Lake,MN,451,0.4916,survey-weighted
2882,Treutlen,GA,451,0.3723,survey-weighted
2883,Copper River Census Area,AK,451,0.8010,survey-weighted
2884,Denali Borough,AK,451,0.8010,survey-weighted
2885,Haines Borough,AK,451,0.8010,survey-weighted
2886,Skagway Municipality,AK,451,0.8010,survey-weighted
2887,Franklin,IA,449,0.4711,survey-weighted
2888,Niobrara,WY,447,0.7975,survey-weighted
2889,Edwards,TX,447,0.4053,survey-weighted
2890,Kinney,TX,447,0.4053,survey-weighted
2891,Real,TX,447,0.4053,survey-weighted
2892,Menard,IL,446,0.3996,survey-weighted
2893,Mora,NM,445,0.3486,survey-weighted
2894,Rich,UT,439,0.8750,survey-weighted
2895,Brown,IL,433,0.5037,survey-weighted
2896,Calhoun,IL,430,0.5775,survey-weighted
2897,Scott,IL,430,0.5775,survey-weighted
2898,Linn,KS,428,0.3466,survey-weighted
2899,King and Queen,VA,427,0.6152,survey-weighted
2900,Richmond,VA,427,0.6152,survey-weighted
2901,Wabaunsee,KS,427,0.7092,survey-weighted
2902,Musselshell,MT,425,0.5610,survey-weighted
2903,Sheridan,MT,425,0.5610,survey-weighted
2904,Baker,GA,424,0.3723,survey-weighted
2905,Calhoun,GA,424,0.3723,survey-weighted
2906,Franklin city,VA,423,0.5644,survey-weighted
2907,Fillmore,NE,421,0.6305,survey-weighted
2908,Johnson,NE,421,0.6305,survey-weighted
2909,Nemaha,NE,421,0.6305,survey-weighted
2910,Polk,NE,421,0.6305,survey-weighted
2911,Thayer,NE,421,0.6305,survey-weighted
2912,Columbia,WA,421,0.5681,survey-weighted
2913,Garfield,WA,421,0.5681,survey-weighted
2914,Fisher,TX,417,0.4798,survey-weighted
2915,Haskell,TX,417,0.4798,survey-weighted
2916,Knox,TX,417,0.4798,survey-weighted
2917,Mitchell,TX,417,0.4798,survey-weighted
2918,Ouray,CO,407,0.5425,survey-weighted
2919,Crowley,CO,407,0.4516,survey-weighted
2920,Kit Carson,CO,407,0.4516,survey-weighted
2921,Lincoln,CO,407,0.4516,survey-weighted
2922,Phillips,CO,407,0.4516,survey-weighted
2923,Washington,CO,407,0.4516,survey-weighted
2924,Yuma,CO,407,0.4516,survey-weighted
2925,McHenry,ND,394,0.6583,survey-weighted
2926,Golden Valley,MT,391,0.7527,survey-weighted
2927,Judith Basin,MT,391,0.7527,survey-weighted
2928,Liberty,MT,391,0.7527,survey-weighted
2929,Meagher,MT,391,0.7527,survey-weighted
2930,Petroleum,MT,391,0.7527,survey-weighted
2931,Phillips,MT,391,0.7527,survey-weighted
2932,Sweet Grass,MT,391,0.7527,survey-weighted
2933,Wheatland,MT,391,0.7527,survey-weighted
2934,Daggett,UT,391,0.7103,survey-weighted
2935,Lincoln,MN,386,0.4536,survey-weighted
2936,Harmon,OK,385,0.4922,survey-weighted
2937,Surry,VA,383,0.3895,survey-weighted
2938,Emporia city,VA,383,0.3895,survey-weighted
2939,Cherry,NE,376,0.5277,survey-weighted
2940,Dawes,NE,376,0.5277,survey-weighted
2941,Sheridan,NE,376,0.5277,survey-weighted
2942,Howard,NE,370,0.8145,survey-weighted
2943,Valley,NE,370,0.8145,survey-weighted
2944,Nance,NE,367,0.7475,survey-weighted
2945,Cameron,PA,364,0.3390,survey-weighted
2946,Crane,TX,359,0.6655,survey-weighted
2947,Culberson,TX,359,0.6655,survey-weighted
2948,Hudspeth,TX,359,0.6655,survey-weighted
2949,Jeff Davis,TX,359,0.6655,survey-weighted
2950,Loving,TX,359,0.6655,survey-weighted
2951,Mineral,CO,359,0.4678,survey-weighted
2952,Clay,GA,354,0.4340,survey-weighted
2953,Quitman,GA,354,0.4340,survey-weighted
2954,Robertson,KY,353,0.4246,survey-weighted
2955,Putnam,IL,352,0.4260,survey-weighted
2956,Stark,IL,352,0.4260,survey-weighted
2957,Osceola,IA,350,0.5442,survey-weighted
2958,Buffalo,SD,350,0.5052,survey-weighted
2959,Haakon,SD,350,0.5052,survey-weighted
2960,Hyde,SD,350,0.5052,survey-weighted
2961,Jones,SD,350,0.5052,survey-weighted
2962,Mellette,SD,350,0.5052,survey-weighted
2963,Stanley,SD,350,0.5052,survey-weighted
2964,Sully,SD,350,0.5052,survey-weighted
2965,Ziebach,SD,350,0.5052,survey-weighted
2966,Grant,MN,349,0.6602,survey-weighted
2967,Traverse,MN,349,0.6602,survey-weighted
2968,Gallatin,IL,348,0.3944,survey-weighted
2969,Hardin,IL,348,0.3944,survey-weighted
2970,Pope,IL,348,0.3944,survey-weighted
2971,Pulaski,IL,348,0.3944,survey-weighted
2972,Cheyenne,KS,344,0.8134,survey-weighted
2973,Decatur,KS,344,0.8134,survey-weighted
2974,Gove,KS,344,0.8134,survey-weighted
2975,Graham,KS,344,0.8134,survey-weighted
2976,Greeley,KS,344,0.8134,survey-weighted
2977,Lane,KS,344,0.8134,survey-weighted
2978,Logan,KS,344,0.8134,survey-weighted
2979,Ness,KS,344,0.8134,survey-weighted
2980,Norton,KS,344,0.8134,survey-weighted
2981,Osborne,KS,344,0.8134,survey-weighted
2982,Rawlins,KS,344,0.8134,survey-weighted
2983,Scott,KS,344,0.8134,survey-weighted
2984,Sheridan,KS,344,0.8134,survey-weighted
2985,Trego,KS,344,0.8134,survey-weighted
2986,Wallace,KS,344,0.8134,survey-weighted
2987,Wichita,KS,344,0.8134,survey-weighted
2988,Borden,TX,344,0.6893,survey-weighted
2989,Concho,TX,344,0.6893,survey-weighted
2990,Crockett,TX,344,0.6893,survey-weighted
2991,Glasscock,TX,344,0.6893,survey-weighted
2992,Irion,TX,344,0.6893,survey-weighted
2993,Menard,TX,344,0.6893,survey-weighted
2994,Reagan,TX,344,0.6893,survey-weighted
2995,Schleicher,TX,344,0.6893,survey-weighted
2996,Sterling,TX,344,0.6893,survey-weighted
2997,Sutton,TX,344,0.6893,survey-weighted
2998,Terrell,TX,344,0.6893,survey-weighted
2999,Butte,ID,340,0.7782,survey-weighted
3000,Clark,ID,340,0.7782,survey-weighted
3001,Custer,ID,340,0.7782,survey-weighted
3002,Custer,CO,337,0.4474,survey-weighted
3003,De Baca,NM,334,0.4262,survey-weighted
3004,Guadalupe,NM,334,0.4262,survey-weighted
3005,Harding,NM,334,0.4262,survey-weighted
3006,Union,NM,334,0.4262,survey-weighted
3007,Harlan,NE,333,0.8055,survey-weighted
3008,Cochran,TX,333,0.6399,survey-weighted
3009,Dickens,TX,333,0.6399,survey-weighted
3010,King,TX,333,0.6399,survey-weighted
3011,Motley,TX,333,0.6399,survey-weighted
3012,Hickman,KY,332,0.5334,survey-weighted
