Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
914387,Mother's Nutritional Center 0433,7120 Indiana Ave,Ste C,Riverside,CA,92504,4500,RIVERSIDE,Supermarket,33.939137,-117.39732,,,88226
914392,Mother's Nutritional Center 0434,3180 E Florence Ave,,Huntington Park,CA,90255,5830,LOS ANGELES,Supermarket,33.972664,-118.21074,,,88231
914396,Mother's Nutritional Center 435,1985 W Adams Blvd,Ste 104,Los Angeles,CA,90018,3512,LOS ANGELES,Supermarket,34.032719,-118.30827,,,88235
1397408,SOCAL FOOD GROUP LP DEL TACO 1313,736 S Rancho Sante Fe,,San Marcos,CA,92078,    ,SAN DIEGO,Restaurant Meals Program,33.132233,-117.20808,,,88236
953904,7-ELEVEN 13627 13627,102 Leucadia Blvd,,Encinitas,CA,92024,1714,SAN DIEGO,Convenience Store,33.06448,-117.30163,,,88246
1585280,Subway 30103,1130 N Pepper Ave,Ste A,Colton,CA,92324,6717,SAN BERNARDINO,Restaurant Meals Program,34.079224,-117.35178,,,88249
914402,Mother's Nutritional Center 0438,9745 Sierra Ave,,Fontana,CA,92335,6716,SAN BERNARDINO,Supermarket,34.076679,-117.43565,,,88250
1321781,Better Buy Liquor,1801 Webster St,,Alameda,CA,94501,2137,ALAMEDA,Convenience Store,37.77734,-122.27666,,,88251
1397010,SOCAL FOOD GROUP LP DEL TACO 1305,1037 E  Bobier Dr,,Vista,CA,92084,    ,SAN DIEGO,Restaurant Meals Program,33.216858,-117.22681,,,88252
1671016,Wendy's #4240,1809 A St,,Antioch,CA,94509,2601,CONTRA COSTA,Restaurant Meals Program,38.004498,-121.80556,,,88256
893871,7-Eleven 18019D 18019D,124 Petaluma Blvd S,,Petaluma,CA,94952,3033,SONOMA,Convenience Store,38.23262,-122.6375,,,88258
687964,Alawdi Market,33143 Road 158,,Ivanhoe,CA,93235,1246,TULARE,Convenience Store,36.391273,-119.22044,,,88259
1062315,Walmart 3352,10355 TRINITY PKWY,,STOCKTON,CA,95219,    ,SAN JOAQUIN,Super Store,38.049824,-121.37624,,,88263
893882,CVS Pharmacy 9658,25880 McBean Pkwy,,Valencia,CA,91355,2004,LOS ANGELES,Other,34.403049,-118.55177,,,88265
893883,CVS Pharmacy 9859,3935 Cochran St,,Simi Valley,CA,93063,2364,VENTURA,Other,34.279072,-118.71939,,,88272
1591065,Carl's Jr #426,1259 W Carson St,,Torrance,CA,90502,2009,LOS ANGELES,Restaurant Meals Program,33.831886,-118.29893,,,88273
893886,CVS Pharmacy 9086,670 El Cerrito Plz,,El Cerrito,CA,94530,4094,CONTRA COSTA,Other,37.899277,-122.30044,,,88278
1627667,Blue Nile Market And Restairant N/A,2425 El Cajon Blvd,,San Diego,CA,92104,1184,SAN DIEGO,Grocery Store,32.754967,-117.13818,,,88279
893887,CVS Pharmacy 9236,50 N Ashwood Ave,,Ventura,CA,93003,1810,VENTURA,Other,34.275349,-119.23934,,,88286
893891,CVS Pharmacy 9308,901 N Carpenter Rd,Ste 30,Modesto,CA,95351,1301,STANISLAUS,Other,37.647762,-121.03092,,,88293
893893,Ortega's Market,1331 Guerneville Rd,Ste J,Santa Rosa,CA,95403,7273,SONOMA,Other,38.458607,-122.73366,,,88300
914441,Walgreens 10336,1538 E Chapman Ave,,Orange,CA,92866,2231,ORANGE,Other,33.787792,-117.83693,,,88304
1063184,Certified Farmers Market Palm Desert,72-559 US Highway 111,,Palm Desert,CA,92260,    ,RIVERSIDE,Farmers and Markets,33.721432,-116.33842,,,88387
1063195,Family Dollar 9295,1660 Indian Hill Blvd,,Pomona,CA,91767,3728,LOS ANGELES,Other,34.075081,-117.71918,,,88388
1063284,Walgreens 12529,305 N Breed St,,Los Angeles,CA,90033,1801,LOS ANGELES,Other,34.0476,-118.20896,,,88394
914442,Walgreens 07950,15316 Nordhoff St,,North Hills,CA,91343,2234,LOS ANGELES,Other,34.235477,-118.46607,,,88399
914444,Walgreens 11705,3019 Floyd Ave,,Modesto,CA,95355,9604,STANISLAUS,Other,37.678188,-120.93721,,,88405
913908,Walgreens 03380,1306 S Mary Ave,#66,Sunnyvale,CA,94087,3130,SANTA CLARA,Other,37.351379,-122.05051,,,88413
1650837,Denny's #8541,2137 Fremont St,,Monterey,CA,93940,5242,MONTEREY,Restaurant Meals Program,36.596596,-121.86143,,,88415
1587157,Denny's Restaurant #8517,536 Academy Ave,,Sanger,CA,93657,2431,FRESNO,Restaurant Meals Program,36.708447,-119.55573,,,88416
913910,Walgreens 04416,20011 Bollinger Rd,,Cupertino,CA,95014,4532,SANTA CLARA,Other,37.309959,-122.0234,,,88421
913912,Walgreens 06214,210 Mount Hermon Rd,,Scotts Valley,CA,95066,4009,SANTA CRUZ,Other,37.045052,-122.02672,,,88427
913918,Walgreens 06585,1570 W Campbell Ave,,Campbell,CA,95008,1528,SANTA CLARA,Other,37.286003,-121.97774,,,88445
893997,CVS Pharmacy 3058,26180 Iris Ave,,Moreno Valley,CA,92555,3004,RIVERSIDE,Other,33.891327,-117.2065,,,88457
893999,CVS Pharmacy 3153,733 E Main St,,Santa Maria,CA,93454,4507,SANTA BARBARA,Other,34.953159,-120.42548,,,88464
1651119,Jack in the Box #3478,435 Canyon del Rey Blvd,,Monterey,CA,93940,5705,MONTEREY,Restaurant Meals Program,36.581875,-121.82909,,,88475
1061707,Dollar General 13066,1323 W Ramsey St,,Banning,CA,92220,4447,RIVERSIDE,Other,33.925964,-116.89106,,,88479
950877,Je Exports,1680 Hilltop Dr,,Chula Vista,CA,91911,5305,SAN DIEGO,Grocery Store,32.595684,-117.05206,,,88499
1650504,Denny's #8021,630 10th St,,Marysville,CA,95901,5155,YUBA,Restaurant Meals Program,39.14534,-121.59407,,,88505
1589176,CCM Market,6046 E Washington Blvd,,Commerce,CA,90040,2415,LOS ANGELES,Grocery Store,33.99622,-118.14855,,,88549
929401,Save Mart 0095,3601 Pelandale Ave,,Modesto,CA,95356,    ,STANISLAUS,Supermarket,37.700474,-121.06303,,,88577
1061709,Dollar General 13568,560 N Main St,,Manteca,CA,95336,3900,SAN JOAQUIN,Other,37.805664,-121.21671,,,88579
913933,Walgreens 07081,416 Alvarado St,,Monterey,CA,93940,2711,MONTEREY,Other,36.599388,-121.89452,,,88582
1061711,Dollar General 13586,7820 Brentwood Blvd,,Brentwood,CA,94513,1039,CONTRA COSTA,Other,37.942051,-121.69614,,,88583
