STATE,SA,SFC,EA_AD,EA_PEFD,EA_FID,EA_PEXD,EA_LID,EA_AM,SCH1920,SCH1920_YN,SCH2021,SCH2021_YN,CC2021,CC2021_YN,SUSCH2021,SUSCH2021_YN,SUCC2021,SUCC2021_YN,SCH2122,SCH2122_YN,CC2122,CC2122_YN,SUSCH2122,SUSCH2122_YN,SUCC2122,SUCC2122_YN,SCH2223,SCH2223_YN,CC2223,CC2223_YN,SUSCH2223,SUSCH2223_YN,SUCC2223,SUCC2223_YN,TSCC_ST,TSCC_EX,SATLW_Q1,WIRI_ST,WIRI_EX,WFFI_ST,WFFI_EX,PESI_ST,PESI_EX,ECP_ST,ECP_EX,APR_ST,APR_EX,PRRH_ST,PRRH_EX
Arizona,AZ,4,  4/2/2020,  4/1/2020, 4/10/2020, 4/30/2022,  4/5/2022,95, 4/17/2020,1, 2/25/2021,1, 2/25/2021,1, 6/30/2021,1, 6/30/2021,1,,0,  6/7/2022,1,  7/6/2022,1,  7/6/2022,1,,0,  3/6/2023,1, 2/23/2023,1,,0,,,1,,,,,,, 12/1/2020, 6/30/2021, 12/1/2020, 6/30/2021,,
Indiana,IN,18, 3/27/2020,  4/1/2020,  4/1/2020, 5/31/2022, 5/23/2022,95, 5/14/2020,1,12/30/2020,1,  3/1/2021,1,  5/1/2021,1,  5/1/2021,1,11/17/2021,1,  5/6/2022,1,  6/9/2022,1,  6/9/2022,1, 2/21/2023,1, 2/21/2023,1, 3/15/2023,1,,0, 4/13/2020, 6/30/2020,0,,,10/16/2020, 6/30/2021,,,,,,,,
Georgia,GA,13, 3/24/2020, 3/27/2020, 3/27/2020, 5/31/2022, 5/31/2022,95,  6/5/2020,1, 5/28/2021,1, 5/28/2021,1,  9/7/2021,1,  9/7/2021,1,,0,  8/5/2022,1,10/18/2022,1,10/18/2022,1,,0,  3/7/2023,1, 3/13/2023,1,,0, 4/10/2020, 6/30/2020,1,,,,,,, 12/1/2020, 6/30/2021,,,,
Alaska,AK,2,  4/2/2020, 3/31/2020,  4/1/2020, 8/31/2022, 8/31/2022,95,  6/5/2020,1,  6/8/2021,1,  6/8/2021,1,  8/2/2021,1,  8/2/2021,1,,0,,0,,0,,0,,0,,0,,0,,0, 5/26/2020, 8/31/2020,1,  1/1/2021, 6/30/2021,,,,,  1/1/2021, 6/30/2021,,,,
Utah,UT,49, 4/15/2020,  5/1/2020,  5/1/2020, 2/28/2023, 2/25/2023,95,  7/9/2020,1, 3/25/2021,1, 6/30/2021,1, 6/30/2021,1, 6/30/2021,1,  3/4/2022,1,  6/6/2022,1, 6/16/2022,1, 6/16/2022,1,,0,,0, 2/22/2023,1,,0,,,1,,,,,,,,,,,,
Minnesota,MN,27, 4/13/2020, 4/27/2020, 4/27/2020, 2/28/2023, 3/30/2023,95, 5/27/2020,1,  2/8/2021,1, 5/17/2021,1, 6/14/2021,1, 6/14/2021,1,11/15/2021,1, 5/12/2022,1, 6/23/2022,1, 6/23/2022,1, 1/12/2023,1, 1/12/2023,1, 3/16/2023,1,,0, 4/13/2020, 6/30/2020,1, 10/1/2020,12/31/2020, 10/1/2020, 6/30/2021,,, 12/1/2020, 2/28/2021, 12/1/2020, 2/28/2021, 10/1/2020,12/31/2020
Nevada,NV,32,  4/7/2020, 4/26/2020, 4/26/2020, 2/28/2023, 3/14/2023,95, 7/10/2020,1, 4/28/2021,1, 4/28/2021,1, 10/1/2021,1, 10/1/2021,1,  5/3/2022,1, 8/16/2022,1,  7/8/2022,1,  7/8/2022,1,,0, 4/13/2023,1, 4/13/2023,1,,0, 5/13/2020, 6/30/2020,1, 10/1/2020, 6/30/2021,,,,,,,,,,
South Carolina,SC,45, 3/24/2020, 3/27/2020, 3/27/2020, 1/31/2023, 1/19/2023,95, 6/17/2020,1,  2/5/2021,1, 7/28/2021,1,  7/9/2021,1,  7/9/2021,1,,0, 5/22/2022,1, 7/22/2022,1, 7/22/2022,1,,0,,0, 5/15/2023,1,,0, 4/10/2020, 8/31/2020,0, 11/1/2020, 6/30/2021, 11/1/2020, 6/30/2021,,,,,,,,
Hawaii,HI,15, 4/17/2020, 4/17/2020, 5/11/2020, 2/28/2023, 3/14/2023,95, 5/28/2020,1, 3/16/2021,1, 5/11/2021,1, 5/11/2021,1, 5/11/2021,1,,0,  6/9/2022,1, 6/23/2022,1, 6/23/2022,1,,0, 1/25/2023,1, 2/10/2023,1,,0,,,1, 10/1/2020, 6/30/2021, 10/1/2020, 6/30/2021, 10/1/2020, 6/30/2021, 10/1/2020, 2/28/2021, 10/1/2020, 2/28/2021,  7/1/2021,12/31/2021
Pennsylvania,PA,42,  4/2/2020, 4/16/2020, 4/16/2020, 2/28/2023,  3/1/2023,95,  5/6/2020,1, 3/10/2021,1,  4/9/2021,1, 7/28/2021,1, 7/28/2021,1, 4/19/2022,1, 9/21/2022,1, 8/31/2022,1, 8/31/2022,1,,0,  5/1/2023,1, 5/17/2023,1,,0, 4/10/2020,11/30/2020,1,10/13/2020, 6/30/2021,10/13/2020, 6/30/2021,,, 10/1/2020, 6/30/2021,10/26/2020, 6/30/2021,,
Texas,TX,48,  4/6/2020, 4/15/2020, 4/15/2020, 2/28/2023,  2/9/2023,95,  5/8/2020,1, 3/22/2021,1, 3/22/2021,1, 8/13/2021,1, 8/13/2021,1, 2/25/2022,1, 2/25/2022,1,  8/5/2022,1,  8/5/2022,1,,0,,0,,0,,0, 4/10/2020, 7/30/2020,0, 12/3/2020, 6/30/2021,,,,,  3/1/2021, 5/31/2021,,,,
New Hampshire,NH,33,  4/1/2020, 4/15/2020, 4/15/2020, 2/28/2023, 3/17/2023,95, 5/12/2020,1, 5/27/2021,1, 7/29/2021,1,10/21/2021,1,10/21/2021,1,,0, 8/18/2022,1,12/20/2022,1,12/20/2022,1,,0, 4/26/2023,1, 7/20/2023,1,,0,  4/6/2020, 7/31/2020,0,,,,,,,,,,,,
Vermont,VT,50, 3/27/2020, 4/15/2020, 4/17/2020, 2/28/2023, 3/14/2023,95,  5/4/2020,1, 1/28/2021,1, 7/14/2021,1,  6/4/2021,1,  6/4/2021,1, 1/27/2022,1, 3/24/2022,1,  6/6/2022,1,  6/6/2022,1,  1/3/2023,1,  1/3/2023,1, 2/15/2023,1,,0,,,1,,,,,,,11/30/2020, 5/31/2021,,,,
New York,NY,36,  4/2/2020, 4/13/2020, 4/13/2020, 2/28/2023, 2/27/2023,95,  5/6/2020,1,  4/9/2021,1, 7/28/2021,1, 8/25/2021,1, 8/25/2021,1, 2/22/2022,1, 8/10/2022,1, 8/30/2022,1, 8/30/2022,1,,0, 5/10/2023,1, 6/27/2023,1,,0,,,1,,,,, 10/7/2020, 6/30/2021,,,,,,
