state_fips,statename,yearmonth,bbce,cap,vehexclall,bbce_inclmt,call_any,oapp,reportsimple,ebtissuance,transben,outreach,faceini,facerec,fingerprint,households,persons,issuance
1,Alabama,199901,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,160629.0,408824.0,28793429.0
1,Alabama,199902,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,159833.0,406536.0,29061928.0
1,Alabama,199903,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,159905.0,406478.0,29135030.0
1,Alabama,199904,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,158210.0,402471.0,28636174.0
1,Alabama,199905,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,156894.0,399053.0,28258173.0
1,Alabama,199906,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,156635.0,398774.0,28310144.0
1,Alabama,199907,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,156273.0,397800.0,28195481.0
1,Alabama,199908,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,156816.0,398858.0,28364265.0
1,Alabama,199909,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,158086.0,401175.0,28417570.0
1,Alabama,199910,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,157410.0,399814.0,29046030.0
1,Alabama,199911,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,157958.0,400776.0,29149278.0
1,Alabama,199912,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,158185.0,401734.0,29140014.0
1,Alabama,200001,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,156741.0,397719.0,28514778.0
1,Alabama,200002,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,156021.0,395364.0,28418092.0
1,Alabama,200003,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,155819.0,394795.0,28617082.0
1,Alabama,200004,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,154282.0,390717.0,28155450.0
1,Alabama,200005,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,154410.0,391467.0,28356728.0
1,Alabama,200006,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,154691.0,392950.0,28305145.0
1,Alabama,200007,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,154568.0,392450.0,28240435.0
1,Alabama,200008,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,156403.0,396990.0,28938357.0
1,Alabama,200009,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,156767.0,397910.0,28853869.0
1,Alabama,200010,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,158327.0,401925.0,30138103.0
1,Alabama,200011,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,160625.0,408750.0,30400420.0
1,Alabama,200012,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,161344.0,411432.0,30572725.0
1,Alabama,200101,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,161302.0,411320.0,29903556.0
1,Alabama,200102,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,160120.0,407782.0,29919598.0
1,Alabama,200103,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,160865.0,409544.0,30323530.0
1,Alabama,200104,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,159647.0,406322.0,29939516.0
1,Alabama,200105,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,160692.0,409193.0,30304374.0
1,Alabama,200106,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,160909.0,410280.0,30228098.0
1,Alabama,200107,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,162508.0,415063.0,30640440.0
1,Alabama,200108,0.0,0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,165652.0,423703.0,31326805.0
1,Alabama,200109,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,164478.0,420191.0,31038625.0
1,Alabama,200110,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,168056.0,429334.0,34145146.0
1,Alabama,200111,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,170515.0,436725.0,34496996.0
1,Alabama,200112,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,172160.0,441060.0,34847801.0
1,Alabama,200201,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,173233.0,443221.0,34546081.0
1,Alabama,200202,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,172847.0,441364.0,34600684.0
1,Alabama,200203,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,173116.0,441962.0,34834462.0
1,Alabama,200204,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,172746.0,441335.0,34684881.0
1,Alabama,200205,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,173652.0,444588.0,34894102.0
