puma_code,puma_raw,est_eligible_households,est_eligible_population,n_sample_households,est_non_enrollment_rate,observed_non_enrollment_rate,ci95_lo,ci95_hi,model_confidence,top_predictive_features,model_auc_cv5,model_version,acs_vintage
0609901,9901,5140.0,16595.0,52,0.4899,0.3333,0.3949,0.5637,0.8312,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0609902,9902,7616.0,21157.0,75,0.5429,0.4827,0.4958,0.609,0.8868,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0609903,9903,7414.0,18068.0,88,0.6767,0.7364,0.6152,0.7304,0.8848,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0609904,9904,4440.0,11821.0,41,0.6382,0.7065,0.5457,0.7265,0.8192,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0610100,10100,10946.0,30163.0,86,0.5757,0.6879,0.5034,0.6401,0.8633,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0610701,10701,6709.0,17402.0,54,0.5211,0.4749,0.4296,0.627,0.8026,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0610702,10702,10909.0,39256.0,107,0.5252,0.4318,0.4733,0.5899,0.8833,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0610703,10703,11769.0,42296.0,123,0.5506,0.4919,0.4937,0.607,0.8868,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0611102,11102,3580.0,6409.0,37,0.7599,0.8883,0.688,0.8326,0.8554,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0611103,11103,9249.0,28238.0,86,0.6511,0.7018,0.5977,0.7163,0.8814,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0611104,11104,5855.0,15282.0,51,0.5824,0.705,0.5314,0.6539,0.8775,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0611107,11107,5213.0,13597.0,52,0.6723,0.7353,0.5937,0.7455,0.8482,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0611108,11108,4510.0,8361.0,45,0.6727,0.645,0.5834,0.7451,0.8383,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0611109,11109,2789.0,5562.0,40,0.773,0.7895,0.7029,0.837,0.8658,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0611301,11301,6396.0,14116.0,53,0.6243,0.752,0.5507,0.6957,0.855,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0611302,11302,7940.0,17898.0,69,0.7059,0.7312,0.6437,0.7623,0.8814,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
